season,week,franchise_id,player_id,contractYear,status,contractInfo,salary,as_of
2025,12,0001,14892,2,ROSTER,2023 iEXT,6.96,2025-11-21
2025,12,0001,13723,2,ROSTER,2023 SRFA,7.26,2025-11-21
2025,12,0001,16226,2,ROSTER,2023 2.06,1.91,2025-11-21
2025,12,0001,14405,2,ROSTER,2023 iEXT,9.12,2025-11-21
2025,12,0001,13590,1,ROSTER,2021 EXT,9.33,2025-11-21
2025,12,0001,15366,3,ROSTER,2024 B/R,6.64,2025-11-21
2025,12,0001,14797,2,ROSTER,2024 UFA,11.88,2025-11-21
2025,12,0001,16627,3,ROSTER,2024 1.12,2.75,2025-11-21
2025,12,0001,16598,3,ROSTER,2024 4.06,1.06,2025-11-21
2025,12,0001,14947,2,ROSTER,2024 UFA,3.56,2025-11-21
2025,12,0001,15806,1,ROSTER,2022 1.15,2.89,2025-11-21
2025,12,0001,12620,2,ROSTER,2021 EXT,30.53,2025-11-21
2025,12,0001,14412,1,ROSTER,2024 oEXT,7.59,2025-11-21
2025,12,0001,16704,3,ROSTER,2024 4.02,1.09,2025-11-21
2025,12,0001,11769,2,ROSTER,2025 R/F,1.0,2025-11-21
2025,12,0001,14893,1,ROSTER,2024 ERFA,1.1,2025-11-21
2025,12,0001,16279,1,ROSTER,2025 ERFA,1.1,2025-11-21
2025,12,0001,13839,3,ROSTER,2025 RRFA,15.0,2025-11-21
2025,12,0001,11222,1,ROSTER,2025 RRFA,7.0,2025-11-21
2025,12,0001,15331,2,ROSTER,2024 iEXT,4.12,2025-11-21
2025,12,0001,17031,4,ROSTER,2025 4.02,1.06,2025-11-21
2025,12,0001,17102,4,ROSTER,2025 1.10,3.33,2025-11-21
2025,12,0001,17148,4,ROSTER,2025 4.04,1.04,2025-11-21
2025,12,0001,17115,4,ROSTER,2025 3.05,1.3,2025-11-21
2025,12,0001,17131,4,ROSTER,2025 3.13,1.17,2025-11-21
2025,12,0001,17072,4,ROSTER,2025 2.03,2.05,2025-11-21
2025,12,0001,13782,1,ROSTER,2025 UFA,1.8,2025-11-21
2025,12,0001,16287,1,ROSTER,2025 UFA,1.8,2025-11-21
2025,12,0001,10266,2,ROSTER,2025 UFA,12.35,2025-11-21
2025,12,0001,12956,1,ROSTER,2025 UFA,1.8,2025-11-21
2025,12,0001,15365,1,ROSTER,2025 UFA,8.7,2025-11-21
2025,12,0001,14219,1,ROSTER,2025 UFA,1.8,2025-11-21
2025,12,0001,14170,1,ROSTER,2025 UFA,1.8,2025-11-21
2025,12,0001,15121,1,ROSTER,2025 UFA,1.1,2025-11-21
2025,12,0001,16165,2,ROSTER,2023 3.07,1.34,2025-11-21
2025,12,0001,16757,1,ROSTER,2025 UFA,1.8,2025-11-21
2025,12,0001,15866,1,ROSTER,2025 UFA,1.0,2025-11-21
2025,12,0001,15380,1,ROSTER,2025 UFA,1.0,2025-11-21
2025,12,0001,14888,1,ROSTER,2025 UFA,1.8,2025-11-21
2025,12,0001,16192,1,ROSTER,2025 UFA,1.9,2025-11-21
2025,12,0001,15727,1,ROSTER,2025 UFA,1.0,2025-11-21
2025,12,0001,15358,1,ROSTER,2025 UFA,1.8,2025-11-21
2025,12,0001,16292,1,ROSTER,2025 UFA,1.0,2025-11-21
2025,12,0001,16451,1,ROSTER,2025 UFA,1.8,2025-11-21
2025,12,0001,17097,4,ROSTER,2025 5.08,0.95,2025-11-21
2025,12,0002,14153,2,ROSTER,2025 oEXT,14.69,2025-11-21
2025,12,0002,15794,1,ROSTER,2022 3.06^,5.35,2025-11-21
2025,12,0002,15762,1,ROSTER,2022 1.13,3.23,2025-11-21
2025,12,0002,16262,2,ROSTER,2023 4.09,1.12,2025-11-21
2025,12,0002,15756,1,ROSTER,2022 1.06,5.75,2025-11-21
2025,12,0002,14802,2,ROSTER,2024 iEXT,17.6,2025-11-21
2025,12,0002,14779,4,ROSTER,2023 iEXT,15.14,2025-11-21
2025,12,0002,16251,2,ROSTER,2023 4.15,1.1,2025-11-21
