season,week,franchise_id,player_id,status,salary,contractYear,contractInfo,as_of
2025,15,0002,16670,ROSTER,0.98,3,2024 5.13,2025-12-13
2025,15,0002,16300,ROSTER,3.0,1,2025 UFA,2025-12-13
2025,15,0002,14283,ROSTER,1.1,1,2024 R/F,2025-12-13
2025,15,0002,14997,ROSTER,2.6,1,2025 UFA,2025-12-13
2025,15,0002,16145,ROSTER,1.0,1,2025 UFA,2025-12-13
2025,15,0002,15378,ROSTER,1.0,1,2025 UFA,2025-12-13
2025,15,0002,15240,ROSTER,1.0,1,2025 UFA,2025-12-13
2025,15,0002,14154,ROSTER,1.8,1,2025 UFA,2025-12-13
2025,15,0002,16181,ROSTER,1.21,2,2023 3.17,2025-12-13
2025,15,0002,16450,ROSTER,1.9,1,2025 UFA,2025-12-13
2025,15,0002,16680,ROSTER,1.1,1,2025 UFA,2025-12-13
2025,15,0002,13595,ROSTER,2.0,1,2025 UFA,2025-12-13
2025,15,0002,14256,ROSTER,1.0,1,2025 UFA,2025-12-13
2025,15,0002,17261,ROSTER,1.0,1,2025 UFA,2025-12-13
2025,15,0002,12140,ROSTER,1.5,1,2025 UFA,2025-12-13
2025,15,0002,15875,ROSTER,1.8,1,2025 UFA,2025-12-13
2025,15,0002,15515,ROSTER,1.0,1,2025 UFA,2025-12-13
2025,15,0002,14151,ROSTER,1.0,1,2025 UFA,2025-12-13
2025,15,0002,14434,ROSTER,1.0,1,2025 UFA,2025-12-13
2025,15,0002,15832,ROSTER,1.8,1,2025 UFA,2025-12-13
2025,15,0002,15923,INJURED_RESERVE,3.5,1,2025 UFA,2025-12-13
2025,15,0002,16736,INJURED_RESERVE,1.0,2,2025 R/F,2025-12-13
2025,15,0002,15254,INJURED_RESERVE,1.1,1,2025 UFA,2025-12-13
2025,15,0003,14127,ROSTER,9.12,1,2024 iEXT,2025-12-13
2025,15,0003,14171,ROSTER,10.89,2,2024 B/R,2025-12-13
2025,15,0003,15708,ROSTER,11.66,1,2022 1.01,2025-12-13
2025,15,0003,12611,ROSTER,18.7,3,2024 UFA,2025-12-13
2025,15,0003,14071,ROSTER,11.5,1,2024 UFA,2025-12-13
2025,15,0003,16579,ROSTER,7.41,3,2024 1.02,2025-12-13
2025,15,0003,16641,ROSTER,4.02,3,2024 1.07,2025-12-13
2025,15,0003,16650,ROSTER,1.86,3,2024 2.05,2025-12-13
2025,15,0003,13223,ROSTER,2.32,1,2024 iEXT,2025-12-13
2025,15,0003,13630,ROSTER,20.33,1,2024 iEXT,2025-12-13
2025,15,0003,15809,ROSTER,2.24,1,2022 2.05,2025-12-13
2025,15,0003,15836,ROSTER,1.25,1,2022 4.01,2025-12-13
2025,15,0003,13737,ROSTER,8.87,1,2025 NEFT,2025-12-13
2025,15,0003,14860,ROSTER,1.1,1,2025 ERFA,2025-12-13
2025,15,0003,13869,ROSTER,1.09,1,2025 ERFA,2025-12-13
2025,15,0003,14833,ROSTER,8.8,4,2025 ORFA1,2025-12-13
2025,15,0003,17081,ROSTER,2.58,4,2025 1.14,2025-12-13
2025,15,0003,17052,ROSTER,1.64,4,2025 2.10,2025-12-13
2025,15,0003,17144,ROSTER,1.46,4,2025 2.15,2025-12-13
2025,15,0003,14218,ROSTER,5.89,2,2025 UFA,2025-12-13
2025,15,0003,15003,ROSTER,1.8,1,2025 UFA,2025-12-13
2025,15,0003,16593,ROSTER,1.35,3,2024 3.03,2025-12-13
2025,15,0003,16660,ROSTER,1.21,3,2024 3.11,2025-12-13
2025,15,0003,16252,ROSTER,1.2,2,2023 3.18,2025-12-13
2025,15,0003,17125,ROSTER,1.18,4,2025 3.12,2025-12-13
2025,15,0003,16603,ROSTER,1.07,3,2024 4.05,2025-12-13
2025,15,0003,15799,ROSTER,1.09,1,2025 ERFA,2025-12-13
2025,15,0003,17128,ROSTER,1.07,4,2025 4.01,2025-12-13
2025,15,0003,13744,ROSTER,1.1,1,2025 UFA,2025-12-13
2025,15,0003,14717,ROSTER,1.8,1,2025 UFA,2025-12-13
2025,15,0003,16077,ROSTER,1.9,1,2025 UFA,2025-12-13
2025,15,0003,15446,ROSTER,1.9,1,2025 UFA,2025-12-13
2025,15,0003,15401,ROSTER,1.0,1,2025 UFA,2025-12-13
2025,15,0003,15742,ROSTER,5.71,1,2023 iEXT,2025-12-13
2025,15,0003,16212,ROSTER,2.53,2,2023 1.15,2025-12-13
