season,week,franchise_id,player_id,status,contractYear,salary,contractInfo,as_of
2025,22,0001,14892,ROSTER,2,6.96,2023 iEXT,2026-02-04
2025,22,0001,13723,ROSTER,2,7.26,2023 SRFA,2026-02-04
2025,22,0001,16226,ROSTER,2,1.91,2023 2.06,2026-02-04
2025,22,0001,14405,ROSTER,2,9.12,2023 iEXT,2026-02-04
2025,22,0001,13590,ROSTER,1,9.33,2021 EXT,2026-02-04
2025,22,0001,15366,ROSTER,3,6.64,2024 B/R,2026-02-04
2025,22,0001,14797,ROSTER,2,11.88,2024 UFA,2026-02-04
2025,22,0001,16627,ROSTER,3,2.75,2024 1.12,2026-02-04
2025,22,0001,16598,ROSTER,3,1.06,2024 4.06,2026-02-04
2025,22,0001,14947,ROSTER,2,3.56,2024 UFA,2026-02-04
2025,22,0001,12620,ROSTER,2,30.53,2021 EXT,2026-02-04
2025,22,0001,14412,ROSTER,1,7.59,2024 oEXT,2026-02-04
2025,22,0001,16704,ROSTER,3,1.09,2024 4.02,2026-02-04
2025,22,0001,11769,ROSTER,2,1.0,2025 R/F,2026-02-04
2025,22,0001,14893,ROSTER,1,1.1,2024 ERFA,2026-02-04
2025,22,0001,16279,ROSTER,1,1.1,2025 ERFA,2026-02-04
2025,22,0001,13839,ROSTER,3,15.0,2025 RRFA,2026-02-04
2025,22,0001,15331,ROSTER,2,4.12,2024 iEXT,2026-02-04
2025,22,0001,17031,ROSTER,4,1.06,2025 4.02,2026-02-04
2025,22,0001,17102,ROSTER,4,3.33,2025 1.10,2026-02-04
2025,22,0001,17148,ROSTER,4,1.04,2025 4.04,2026-02-04
2025,22,0001,17115,ROSTER,4,1.3,2025 3.05,2026-02-04
2025,22,0001,17131,ROSTER,4,1.17,2025 3.13,2026-02-04
2025,22,0001,16287,ROSTER,1,1.8,2025 UFA,2026-02-04
2025,22,0001,10266,ROSTER,2,12.35,2025 UFA,2026-02-04
2025,22,0001,15365,ROSTER,1,8.7,2025 UFA,2026-02-04
2025,22,0001,14219,ROSTER,1,1.8,2025 UFA,2026-02-04
2025,22,0001,14170,ROSTER,1,1.8,2025 UFA,2026-02-04
2025,22,0001,16165,ROSTER,2,1.34,2023 3.07,2026-02-04
2025,22,0001,15866,ROSTER,1,1.0,2025 UFA,2026-02-04
2025,22,0001,15380,ROSTER,1,1.0,2025 UFA,2026-02-04
2025,22,0001,16192,ROSTER,1,1.9,2025 UFA,2026-02-04
2025,22,0001,15727,ROSTER,1,1.0,2025 UFA,2026-02-04
2025,22,0001,15358,ROSTER,1,1.8,2025 UFA,2026-02-04
2025,22,0001,17097,ROSTER,4,0.95,2025 5.08,2026-02-04
2025,22,0001,17072,ROSTER,4,2.05,2025 2.03,2026-02-04
2025,22,0001,15913,ROSTER,1,1.0,2025 UFA,2026-02-04
2025,22,0001,15369,ROSTER,1,1.0,2025 UFA,2026-02-04
2025,22,0001,13431,ROSTER,1,1.0,2025 UFA,2026-02-04
2025,22,0001,13404,ROSTER,1,1.0,2025 UFA,2026-02-04
2025,22,0001,13888,ROSTER,1,1.0,2025 UFA,2026-02-04
2025,22,0001,14933,ROSTER,1,1.0,2025 UFA,2026-02-04
2025,22,0001,15890,ROSTER,1,1.0,2025 UFA,2026-02-04
2025,22,0002,14153,ROSTER,2,14.69,2025 oEXT,2026-02-04
2025,22,0002,15794,ROSTER,1,5.35,2022 3.06^,2026-02-04
2025,22,0002,15762,ROSTER,1,3.23,2022 1.13,2026-02-04
2025,22,0002,16262,ROSTER,2,1.12,2023 4.09,2026-02-04
2025,22,0002,15756,ROSTER,1,5.75,2022 1.06,2026-02-04
2025,22,0002,14802,ROSTER,2,17.6,2024 iEXT,2026-02-04
2025,22,0002,14779,ROSTER,4,15.14,2023 iEXT,2026-02-04
2025,22,0002,16251,ROSTER,2,1.1,2023 4.15,2026-02-04
2025,22,0002,14832,ROSTER,3,37.73,2024 NEFToff,2026-02-04
2025,22,0002,12225,ROSTER,1,11.5,2024 B/R,2026-02-04
2025,22,0002,16655,ROSTER,3,1.42,2024 2.16,2026-02-04
2025,22,0002,13837,ROSTER,2,10.0,2024 UFA,2026-02-04
2025,22,0002,14249,ROSTER,1,7.5,2024 UFA,2026-02-04
2025,22,0002,10783,ROSTER,1,1.1,2024 R/F,2026-02-04
2025,22,0002,14897,ROSTER,3,21.51,2024 UFA,2026-02-04
2025,22,0002,15428,ROSTER,1,1.1,2025 ERFA,2026-02-04
2025,22,0002,14669,ROSTER,1,1.1,2025 ERFA,2026-02-04
2025,22,0002,15290,ROSTER,1,42.24,2025 NEFT,2026-02-04
2025,22,0002,17116,ROSTER,3,0.9,2025 UDFA,2026-02-04
2025,22,0002,15979,ROSTER,3,1.86,2025 UFA,2026-02-04
2025,22,0002,15757,ROSTER,1,1.3,2022 3.19,2026-02-04
2025,22,0002,17161,ROSTER,3,0.9,2025 UDFA,2026-02-04
2025,22,0002,17033,ROSTER,4,1.12,2025 3.17,2026-02-04
2025,22,0002,17056,ROSTER,4,0.95,2025 5.07,2026-02-04
2025,22,0002,17138,ROSTER,4,1.15,2025 3.14,2026-02-04
2025,22,0002,16670,ROSTER,3,0.98,2024 5.13,2026-02-04
2025,22,0002,16300,ROSTER,1,3.0,2025 UFA,2026-02-04
2025,22,0002,14283,ROSTER,1,1.1,2024 R/F,2026-02-04
2025,22,0002,14997,ROSTER,1,2.6,2025 UFA,2026-02-04
2025,22,0002,16145,ROSTER,1,1.0,2025 UFA,2026-02-04
2025,22,0002,15378,ROSTER,1,1.0,2025 UFA,2026-02-04
