season,week,franchise_id,player_id,contractInfo,status,contractYear,salary,as_of
2025,12,0002,16262,2023 4.09,ROSTER,2,1.12,2025-11-24
2025,12,0002,15756,2022 1.06,ROSTER,1,5.75,2025-11-24
2025,12,0002,14802,2024 iEXT,ROSTER,2,17.6,2025-11-24
2025,12,0002,14779,2023 iEXT,ROSTER,4,15.14,2025-11-24
2025,12,0002,16251,2023 4.15,ROSTER,2,1.1,2025-11-24
2025,12,0002,14832,2024 NEFToff,ROSTER,3,37.73,2025-11-24
2025,12,0002,12225,2024 B/R,ROSTER,1,11.5,2025-11-24
2025,12,0002,16655,2024 2.16,ROSTER,3,1.42,2025-11-24
2025,12,0002,13837,2024 UFA,ROSTER,2,10.0,2025-11-24
2025,12,0002,14249,2024 UFA,ROSTER,1,7.5,2025-11-24
2025,12,0002,10783,2024 R/F,ROSTER,1,1.1,2025-11-24
2025,12,0002,14897,2024 UFA,ROSTER,3,21.51,2025-11-24
2025,12,0002,13844,2025 ERFA,ROSTER,1,1.1,2025-11-24
2025,12,0002,15428,2025 ERFA,ROSTER,1,1.1,2025-11-24
2025,12,0002,16736,2025 R/F,ROSTER,2,1.0,2025-11-24
2025,12,0002,14669,2025 ERFA,ROSTER,1,1.1,2025-11-24
2025,12,0002,15290,2025 NEFT,ROSTER,1,42.24,2025-11-24
2025,12,0002,17116,2025 UDFA,ROSTER,3,0.9,2025-11-24
2025,12,0002,15979,2025 UFA,ROSTER,3,1.86,2025-11-24
2025,12,0002,15757,2022 3.19,ROSTER,1,1.3,2025-11-24
2025,12,0002,17161,2025 UDFA,ROSTER,3,0.9,2025-11-24
2025,12,0002,17033,2025 3.17,ROSTER,4,1.12,2025-11-24
2025,12,0002,17056,2025 5.07,ROSTER,4,0.95,2025-11-24
2025,12,0002,17138,2025 3.14,ROSTER,4,1.15,2025-11-24
2025,12,0002,16670,2024 5.13,ROSTER,3,0.98,2025-11-24
2025,12,0002,16300,2025 UFA,ROSTER,1,3.0,2025-11-24
2025,12,0002,14283,2024 R/F,ROSTER,1,1.1,2025-11-24
2025,12,0002,14997,2025 UFA,ROSTER,1,2.6,2025-11-24
2025,12,0002,16145,2025 UFA,ROSTER,1,1.0,2025-11-24
2025,12,0002,15378,2025 UFA,ROSTER,1,1.0,2025-11-24
2025,12,0002,15240,2025 UFA,ROSTER,1,1.0,2025-11-24
2025,12,0002,12677,2025 R/F,ROSTER,2,1.0,2025-11-24
2025,12,0002,14154,2025 UFA,ROSTER,1,1.8,2025-11-24
2025,12,0002,16181,2023 3.17,ROSTER,2,1.21,2025-11-24
2025,12,0002,16450,2025 UFA,ROSTER,1,1.9,2025-11-24
2025,12,0002,16680,2025 UFA,ROSTER,1,1.1,2025-11-24
2025,12,0002,13595,2025 UFA,ROSTER,1,2.0,2025-11-24
2025,12,0002,14256,2025 UFA,ROSTER,1,1.0,2025-11-24
2025,12,0002,17261,2025 UFA,ROSTER,1,1.0,2025-11-24
2025,12,0002,12140,2025 UFA,ROSTER,1,1.5,2025-11-24
2025,12,0002,15875,2025 UFA,ROSTER,1,1.8,2025-11-24
2025,12,0002,17239,2025 UFA,ROSTER,1,1.8,2025-11-24
2025,12,0002,15923,2025 UFA,INJURED_RESERVE,1,3.5,2025-11-24
2025,12,0003,15819,2022 2.13,ROSTER,1,1.78,2025-11-24
2025,12,0003,14127,2024 iEXT,ROSTER,1,9.12,2025-11-24
2025,12,0003,15832,2022 4.11^,ROSTER,1,5.35,2025-11-24
2025,12,0003,14171,2024 B/R,ROSTER,2,10.89,2025-11-24
2025,12,0003,15708,2022 1.01,ROSTER,1,11.66,2025-11-24
2025,12,0003,12611,2024 UFA,ROSTER,3,18.7,2025-11-24
2025,12,0003,14071,2024 UFA,ROSTER,1,11.5,2025-11-24
2025,12,0003,16579,2024 1.02,ROSTER,3,7.41,2025-11-24
2025,12,0003,16641,2024 1.07,ROSTER,3,4.02,2025-11-24
2025,12,0003,16650,2024 2.05,ROSTER,3,1.86,2025-11-24
2025,12,0003,13223,2024 iEXT,ROSTER,1,2.32,2025-11-24
2025,12,0003,13630,2024 iEXT,ROSTER,1,20.33,2025-11-24
2025,12,0003,15809,2022 2.05,ROSTER,1,2.24,2025-11-24
2025,12,0003,15836,2022 4.01,ROSTER,1,1.25,2025-11-24
2025,12,0003,13737,2025 NEFT,ROSTER,1,8.87,2025-11-24
