season,week,franchise_id,player_id,salary,contractYear,status,contractInfo,as_of
2025,13,0003,13869,1.09,1,ROSTER,2025 ERFA,2025-11-25
2025,13,0003,14833,8.8,4,ROSTER,2025 ORFA1,2025-11-25
2025,13,0003,17081,2.58,4,ROSTER,2025 1.14,2025-11-25
2025,13,0003,17052,1.64,4,ROSTER,2025 2.10,2025-11-25
2025,13,0003,17144,1.46,4,ROSTER,2025 2.15,2025-11-25
2025,13,0003,14218,5.89,2,ROSTER,2025 UFA,2025-11-25
2025,13,0003,15003,1.8,1,ROSTER,2025 UFA,2025-11-25
2025,13,0003,16593,1.35,3,ROSTER,2024 3.03,2025-11-25
2025,13,0003,16660,1.21,3,ROSTER,2024 3.11,2025-11-25
2025,13,0003,16252,1.2,2,ROSTER,2023 3.18,2025-11-25
2025,13,0003,17125,1.18,4,ROSTER,2025 3.12,2025-11-25
2025,13,0003,16603,1.07,3,ROSTER,2024 4.05,2025-11-25
2025,13,0003,15799,1.09,1,ROSTER,2025 ERFA,2025-11-25
2025,13,0003,17128,1.07,4,ROSTER,2025 4.01,2025-11-25
2025,13,0003,13744,1.1,1,ROSTER,2025 UFA,2025-11-25
2025,13,0003,14717,1.8,1,ROSTER,2025 UFA,2025-11-25
2025,13,0003,16077,1.9,1,ROSTER,2025 UFA,2025-11-25
2025,13,0003,15446,1.9,1,ROSTER,2025 UFA,2025-11-25
2025,13,0003,15401,1.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0003,15742,5.71,1,ROSTER,2023 iEXT,2025-11-25
2025,13,0003,16212,2.53,2,ROSTER,2023 1.15,2025-11-25
2025,13,0003,16705,1.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0003,13952,5.13,2,ROSTER,2025 UFA,2025-11-25
2025,13,0003,13448,3.6,1,ROSTER,2025 UFA,2025-11-25
2025,13,0003,14159,14.4,2,ROSTER,2023 UFA,2025-11-25
2025,13,0003,13920,2.6,1,ROSTER,2025 UFA,2025-11-25
2025,13,0003,16184,1.59,2,INJURED_RESERVE,2023 2.13,2025-11-25
2025,13,0003,14147,19.36,3,INJURED_RESERVE,2023 UFA,2025-11-25
2025,13,0003,14900,9.5,2,INJURED_RESERVE,2025 B/R,2025-11-25
2025,13,0003,14179,7.22,2,INJURED_RESERVE,2024 iEXT,2025-11-25
2025,13,0004,14782,10.48,2,ROSTER,2023 iEXT,2025-11-25
2025,13,0004,14149,3.0,2,ROSTER,2024 iEXT,2025-11-25
2025,13,0004,16190,3.45,2,ROSTER,2023 1.10,2025-11-25
2025,13,0004,16223,3.21,2,ROSTER,2023 1.11,2025-11-25
2025,13,0004,14518,2.73,1,ROSTER,2023 UFA,2025-11-25
2025,13,0004,14836,41.25,3,ROSTER,2024 NEFToff,2025-11-25
2025,13,0004,9431,12.89,2,ROSTER,2024 SRFA,2025-11-25
2025,13,0004,16651,2.15,3,ROSTER,2024 2.01,2025-11-25
2025,13,0004,16677,1.18,3,ROSTER,2024 3.13,2025-11-25
2025,13,0004,13692,2.97,2,ROSTER,2024 UFA,2025-11-25
2025,13,0004,14910,3.25,1,ROSTER,2024 UFA,2025-11-25
2025,13,0004,16747,1.01,3,ROSTER,2024 4.16,2025-11-25
2025,13,0004,15281,42.24,1,ROSTER,2025 NEFT,2025-11-25
2025,13,0004,15710,7.46,4,ROSTER,2025 FRFA,2025-11-25
2025,13,0004,14590,1.09,1,ROSTER,2025 ERFA,2025-11-25
2025,13,0004,14943,1.1,1,ROSTER,2025 ERFA,2025-11-25
2025,13,0004,16346,1.1,1,ROSTER,2025 ERFA,2025-11-25
2025,13,0004,11150,7.6,2,ROSTER,2025 B/R,2025-11-25
2025,13,0004,14899,1.1,1,ROSTER,2024 R/F,2025-11-25
2025,13,0004,17121,2.33,4,ROSTER,2025 1.16,2025-11-25
2025,13,0004,17078,1.98,4,ROSTER,2025 2.04,2025-11-25
2025,13,0004,16213,4.47,2,ROSTER,2023 1.07,2025-11-25
2025,13,0004,12711,1.0,1,ROSTER,2025 R/F,2025-11-25
2025,13,0004,17047,1.11,4,ROSTER,2025 3.18,2025-11-25
2025,13,0004,17037,0.97,4,ROSTER,2025 4.19,2025-11-25
2025,13,0004,17241,0.9,3,ROSTER,2025 UDFA,2025-11-25
2025,13,0004,17167,0.9,3,ROSTER,2025 UDFA,2025-11-25
2025,13,0004,11936,1.9,2,ROSTER,2025 UFA,2025-11-25
2025,13,0004,15387,1.8,1,ROSTER,2025 UFA,2025-11-25
2025,13,0004,15362,1.8,1,ROSTER,2025 UFA,2025-11-25
2025,13,0004,15868,2.1,1,ROSTER,2025 UFA,2025-11-25
2025,13,0004,17256,0.9,3,ROSTER,2025 UDFA,2025-11-25
2025,13,0004,17186,0.9,3,ROSTER,2025 UDFA,2025-11-25
2025,13,0004,16767,1.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0004,12754,3.1,1,ROSTER,2025 UFA,2025-11-25
2025,13,0004,15857,1.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0004,13299,24.75,2,ROSTER,2024 UFA,2025-11-25
2025,13,0004,16734,1.0,3,ROSTER,2024 4.19,2025-11-25
2025,13,0004,16572,2.1,1,ROSTER,2025 UFA,2025-11-25
2025,13,0004,16663,1.8,1,ROSTER,2025 UFA,2025-11-25
2025,13,0004,16201,1.8,1,ROSTER,2025 UFA,2025-11-25
2025,13,0004,12658,1.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0004,16597,2.46,3,INJURED_RESERVE,2024 1.14,2025-11-25
2025,13,0004,17113,1.49,4,INJURED_RESERVE,2025 2.14,2025-11-25
2025,13,0004,15753,10.5,5,INJURED_RESERVE,2025 iEXT,2025-11-25
2025,13,0004,16227,1.9,1,INJURED_RESERVE,2025 UFA,2025-11-25
2025,13,0004,16731,1.0,1,TAXI_SQUAD,2025 UFA,2025-11-25
2025,13,0005,15808,3.55,5,ROSTER,2025 iEXT,2025-11-25
2025,13,0005,13742,5.2,1,ROSTER,2023 SRFA,2025-11-25
2025,13,0005,16189,1.64,2,ROSTER,2023 2.12,2025-11-25
2025,13,0005,14322,5.38,1,ROSTER,2024 SRFA,2025-11-25
2025,13,0005,16610,1.57,3,ROSTER,2024 2.11,2025-11-25
2025,13,0005,14163,18.57,3,ROSTER,2025 iEXT,2025-11-25
2025,13,0005,16716,1.13,3,ROSTER,2024 3.18,2025-11-25
2025,13,0005,16206,1.1,1,ROSTER,2023 4.14,2025-11-25
2025,13,0005,15754,6.66,6,ROSTER,2025 iEXT,2025-11-25
2025,13,0005,12626,26.48,1,ROSTER,2025 NEFT,2025-11-25
2025,13,0005,14109,34.11,3,ROSTER,2025 B/R,2025-11-25
2025,13,0005,17104,3.93,4,ROSTER,2025 1.08,2025-11-25
2025,13,0005,13116,37.71,4,ROSTER,2023 oEXT,2025-11-25
2025,13,0005,17039,1.23,4,ROSTER,2025 3.09,2025-11-25
2025,13,0005,14630,1.86,2,ROSTER,2025 UFA,2025-11-25
2025,13,0005,12752,3.8,2,ROSTER,2025 UFA,2025-11-25
2025,13,0005,15418,5.7,2,ROSTER,2025 UFA,2025-11-25
2025,13,0005,13671,12.5,1,ROSTER,2025 UFA,2025-11-25
2025,13,0005,14940,6.37,3,ROSTER,2022 oEXT,2025-11-25
2025,13,0005,15292,1.0,2,ROSTER,2025 R/F,2025-11-25
2025,13,0005,16282,0.98,1,ROSTER,2023 UDFA,2025-11-25
2025,13,0005,16276,1.2,2,ROSTER,2023 3.19,2025-11-25
2025,13,0005,17153,1.01,4,ROSTER,2025 4.09,2025-11-25
2025,13,0005,17184,0.9,3,ROSTER,2025 UDFA,2025-11-25
2025,13,0005,17055,1.04,4,ROSTER,2025 4.05,2025-11-25
2025,13,0005,13713,1.1,1,ROSTER,2025 ERFA,2025-11-25
2025,13,0005,16662,1.02,2,ROSTER,2024 4.15,2025-11-25
2025,13,0005,17086,1.13,4,ROSTER,2025 3.16,2025-11-25
2025,13,0005,14823,1.8,1,ROSTER,2025 UFA,2025-11-25
2025,13,0005,16194,2.05,2,ROSTER,2023 2.04,2025-11-25
2025,13,0005,16702,1.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0005,14251,10.0,1,ROSTER,2025 RRFA,2025-11-25
2025,13,0005,8930,1.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0005,11383,1.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0005,16342,1.8,1,ROSTER,2025 UFA,2025-11-25
2025,13,0005,15933,1.8,1,ROSTER,2025 UFA,2025-11-25
2025,13,0005,16014,1.9,1,ROSTER,2025 UFA,2025-11-25
2025,13,0005,17178,1.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0005,13774,1.8,1,ROSTER,2025 UFA,2025-11-25
2025,13,0005,15177,1.8,1,ROSTER,2025 UFA,2025-11-25
2025,13,0005,16695,1.8,1,ROSTER,2025 UFA,2025-11-25
2025,13,0005,11945,1.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0005,16788,1.8,1,ROSTER,2025 UFA,2025-11-25
2025,13,0005,16604,1.29,3,INJURED_RESERVE,2024 3.06,2025-11-25
2025,13,0005,16171,2.13,2,INJURED_RESERVE,2023 2.03,2025-11-25
2025,13,0005,17045,1.69,4,INJURED_RESERVE,2025 2.09,2025-11-25
2025,13,0005,17074,7.03,4,INJURED_RESERVE,2025 1.03,2025-11-25
2025,13,0005,12772,1.0,2,INJURED_RESERVE,2025 R/F,2025-11-25
2025,13,0005,13629,2.4,1,INJURED_RESERVE,2025 UFA,2025-11-25
2025,13,0005,13697,3.09,2,INJURED_RESERVE,2023 UFA,2025-11-25
2025,13,0005,15089,1.0,1,TAXI_SQUAD,2025 UFA,2025-11-25
2025,13,0006,14783,23.52,5,ROSTER,2024 iEXT,2025-11-25
2025,13,0006,15282,18.66,4,ROSTER,2024 iEXT,2025-11-25
2025,13,0006,15715,12.48,2,ROSTER,2025 iEXT,2025-11-25
2025,13,0006,15846,5.18,3,ROSTER,2025 iEXT,2025-11-25
2025,13,0006,15871,5.35,1,ROSTER,2022 5.02^,2025-11-25
2025,13,0006,14921,5.2,2,ROSTER,2023 SRFA,2025-11-25
2025,13,0006,16330,1.04,2,ROSTER,2023 5.18,2025-11-25
2025,13,0006,15761,7.25,4,ROSTER,2025 iEXT,2025-11-25
2025,13,0006,14225,24.24,4,ROSTER,2024 iEXT,2025-11-25
2025,13,0006,14889,3.14,1,ROSTER,2024 UFA,2025-11-25
2025,13,0006,15452,5.38,2,ROSTER,2024 SRFA,2025-11-25
2025,13,0006,16649,1.17,3,ROSTER,2024 3.14,2025-11-25
2025,13,0006,13268,3.41,1,ROSTER,2025 ORFA4,2025-11-25
2025,13,0006,11247,1.1,1,ROSTER,2025 ERFA,2025-11-25
2025,13,0006,17071,6.11,4,ROSTER,2025 1.04,2025-11-25
2025,13,0006,17134,1.79,4,ROSTER,2025 2.07,2025-11-25
2025,13,0006,17107,1.6,4,ROSTER,2025 2.11,2025-11-25
2025,13,0006,17146,0.99,4,ROSTER,2025 4.14,2025-11-25
2025,13,0006,17059,0.95,4,ROSTER,2025 5.09,2025-11-25
2025,13,0006,17064,0.96,4,ROSTER,2025 5.02,2025-11-25
2025,13,0006,16193,3.5,1,ROSTER,2025 UFA,2025-11-25
2025,13,0006,13633,5.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0006,15777,2.38,2,ROSTER,2025 UFA,2025-11-25
2025,13,0006,13681,9.2,1,ROSTER,2025 UFA,2025-11-25
2025,13,0006,15702,1.0,2,ROSTER,2025 R/F,2025-11-25
2025,13,0006,16654,1.0,3,ROSTER,2024 4.23,2025-11-25
2025,13,0006,15989,1.1,1,ROSTER,2025 UFA,2025-11-25
2025,13,0006,14918,1.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0006,12218,1.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0006,13418,1.9,1,ROSTER,2025 UFA,2025-11-25
2025,13,0006,15864,3.59,3,ROSTER,2025 iEXT,2025-11-25
2025,13,0006,17220,1.1,1,ROSTER,2025 UFA,2025-11-25
2025,13,0006,15390,1.87,3,ROSTER,2024 iEXT,2025-11-25
2025,13,0006,12744,1.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0006,16281,1.06,2,ROSTER,2023 5.10,2025-11-25
2025,13,0006,15388,1.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0006,7836,10.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0006,15833,1.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0006,16197,2.41,2,ROSTER,2023 1.16,2025-11-25
2025,13,0006,14080,1.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0006,16283,4.7,2,ROSTER,2024 iEXT,2025-11-25
2025,13,0006,17036,0.96,4,ROSTER,2025 5.04,2025-11-25
2025,13,0006,13263,1.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0006,17334,1.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0006,14840,20.57,4,INJURED_RESERVE,2023 iEXT,2025-11-25
2025,13,0006,16594,2.24,3,INJURED_RESERVE,2024 1.16,2025-11-25
2025,13,0006,17152,0.9,3,INJURED_RESERVE,2025 UDFA,2025-11-25
2025,13,0007,15284,14.87,5,ROSTER,2025 oEXT,2025-11-25
2025,13,0007,15711,8.42,1,ROSTER,2022 1.03,2025-11-25
2025,13,0007,15329,8.54,5,ROSTER,2024 iEXT,2025-11-25
2025,13,0007,16161,8.38,2,ROSTER,2023 1.02,2025-11-25
2025,13,0007,16230,1.45,2,ROSTER,2023 3.02,2025-11-25
2025,13,0007,16244,1.18,2,ROSTER,2023 4.02,2025-11-25
2025,13,0007,14472,1.1,1,ROSTER,2024 R/F,2025-11-25
2025,13,0007,16614,8.79,3,ROSTER,2024 1.01,2025-11-25
2025,13,0007,16692,1.4,3,ROSTER,2024 3.01,2025-11-25
2025,13,0007,16303,3.2,1,ROSTER,2025 oEXT,2025-11-25
2025,13,0007,16080,5.42,3,ROSTER,2025 oEXT,2025-11-25
2025,13,0007,16432,1.1,1,ROSTER,2025 ERFA,2025-11-25
2025,13,0007,12217,1.1,1,ROSTER,2025 ERFA,2025-11-25
2025,13,0007,15869,1.09,1,ROSTER,2025 ERFA,2025-11-25
2025,13,0007,17137,1.74,4,ROSTER,2025 2.08,2025-11-25
2025,13,0007,17135,1.26,4,ROSTER,2025 3.07,2025-11-25
2025,13,0007,17159,1.05,4,ROSTER,2025 4.03,2025-11-25
2025,13,0007,17099,0.95,4,ROSTER,2025 5.10,2025-11-25
2025,13,0007,17185,0.9,3,ROSTER,2025 UDFA,2025-11-25
2025,13,0007,17181,0.9,3,ROSTER,2025 UDFA,2025-11-25
2025,13,0007,12860,1.8,1,ROSTER,2025 UFA,2025-11-25
2025,13,0007,13635,20.24,2,ROSTER,2025 UFA,2025-11-25
2025,13,0007,15361,3.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0007,12741,5.13,2,ROSTER,2025 UFA,2025-11-25
2025,13,0007,15355,6.75,2,ROSTER,2025 UFA,2025-11-25
2025,13,0007,15445,4.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0007,16729,3.04,2,ROSTER,2025 UFA,2025-11-25
2025,13,0007,10703,10.1,1,ROSTER,2025 UFA,2025-11-25
2025,13,0007,15349,8.55,2,ROSTER,2025 UFA,2025-11-25
2025,13,0007,16719,4.59,3,ROSTER,2025 UFA,2025-11-25
2025,13,0007,15288,2.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0007,12782,2.1,1,ROSTER,2025 UFA,2025-11-25
2025,13,0007,14168,2.6,1,ROSTER,2025 UFA,2025-11-25
2025,13,0007,14207,1.9,1,ROSTER,2025 UFA,2025-11-25
2025,13,0007,16294,6.6,1,ROSTER,2025 UFA,2025-11-25
2025,13,0007,15884,1.8,1,ROSTER,2025 UFA,2025-11-25
2025,13,0007,15402,1.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0007,12616,1.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0007,16010,1.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0007,10313,2.1,1,ROSTER,2025 UFA,2025-11-25
2025,13,0007,13354,1.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0007,16682,1.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0007,15396,2.05,1,ROSTER,2024 oEXT,2025-11-25
2025,13,0007,17267,0.9,3,INJURED_RESERVE,2025 UDFA,2025-11-25
2025,13,0007,15385,2.2,3,INJURED_RESERVE,2025 oEXT,2025-11-25
2025,13,0007,14056,22.18,3,INJURED_RESERVE,2025 oEXT,2025-11-25
2025,13,0007,17098,1.01,4,INJURED_RESERVE,2025 4.10,2025-11-25
2025,13,0007,15391,4.55,2,INJURED_RESERVE,2024 UFA,2025-11-25
2025,13,0008,15346,11.52,2,ROSTER,2024 iEXT,2025-11-25
2025,13,0008,15817,13.96,4,ROSTER,2025 iEXT,2025-11-25
2025,13,0008,16187,1.8,2,ROSTER,2023 2.08,2025-11-25
2025,13,0008,16414,1.81,1,ROSTER,2023 iEXT,2025-11-25
2025,13,0008,15860,1.18,1,ROSTER,2022 4.14,2025-11-25
2025,13,0008,16689,1.8,3,ROSTER,2024 2.06,2025-11-25
2025,13,0008,15350,9.02,4,ROSTER,2024 iEXT,2025-11-25
2025,13,0008,14909,14.03,3,ROSTER,2024 UFA,2025-11-25
2025,13,0008,13592,22.71,3,ROSTER,2025 iEXT,2025-11-25
2025,13,0008,16671,1.03,3,ROSTER,2024 4.10,2025-11-25
2025,13,0008,16675,1.13,3,ROSTER,2024 3.17,2025-11-25
2025,13,0008,15861,5.39,3,ROSTER,2024 iEXT,2025-11-25
2025,13,0008,16383,0.98,1,ROSTER,2023 UDFA,2025-11-25
2025,13,0008,16679,1.25,3,ROSTER,2024 3.08,2025-11-25
2025,13,0008,10292,1.0,2,ROSTER,2025 R/F,2025-11-25
2025,13,0008,15081,1.1,1,ROSTER,2025 ERFA,2025-11-25
2025,13,0008,15256,5.5,1,ROSTER,2025 UFA,2025-11-25
2025,13,0008,13470,4.3,1,ROSTER,2025 UFA,2025-11-25
2025,13,0008,14137,2.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0008,14858,1.1,1,ROSTER,2025 UFA,2025-11-25
2025,13,0008,16013,1.0,2,ROSTER,2025 R/F,2025-11-25
2025,13,0008,16369,1.0,2,ROSTER,2025 R/F,2025-11-25
2025,13,0008,13810,1.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0008,15921,1.0,2,ROSTER,2025 R/F,2025-11-25
2025,13,0008,14235,1.8,1,ROSTER,2025 UFA,2025-11-25
2025,13,0008,14086,1.8,1,ROSTER,2025 UFA,2025-11-25
2025,13,0008,15255,2.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0008,15375,1.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0008,15786,1.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0008,14059,6.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0008,13447,1.8,1,ROSTER,2025 UFA,2025-11-25
2025,13,0008,13813,14.52,1,ROSTER,2023 SRFA,2025-11-25
2025,13,0008,16452,1.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0008,13289,1.9,1,ROSTER,2025 UFA,2025-11-25
2025,13,0008,16207,1.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0008,17046,1.02,4,ROSTER,2025 4.08,2025-11-25
2025,13,0008,14903,1.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0008,14924,1.0,1,ROSTER,2025 UFA,2025-11-25
2025,13,0008,15499,1.0,1,ROSTER,2025 UFA,2025-11-25
