season,timestamp,ts_utc,type,franchise,player_ids,player_count,added_ids,added_count,dropped_ids,dropped_count,raw,franchise2
2022,1675564571,2023-02-05T02:36:11+00:00,AUCTION_BID,0030,9073|0.1|,1,,0,,0,"{""transaction"":""9073|0.1|"",""type"":""AUCTION_BID"",""franchise"":""0030"",""timestamp"":""1675564571""}",
2022,1675564526,2023-02-05T02:35:26+00:00,AUCTION_INIT,0026,9073|0|,1,,0,,0,"{""transaction"":""9073|0|"",""type"":""AUCTION_INIT"",""timestamp"":""1675564526"",""franchise"":""0026""}",
2022,1673352204,2023-01-10T12:03:24+00:00,FREE_AGENT,0027,14860,1,,0,,0,"{""franchise"":""0027"",""timestamp"":""1673352204"",""by_commish"":""1"",""transaction"":""|14860,"",""type"":""FREE_AGENT""}",
2022,1673213175,2023-01-08T21:26:15+00:00,IR,0018,,0,,0,,0,"{""deactivated"":"""",""type"":""IR"",""activated"":""15263,"",""franchise"":""0018"",""timestamp"":""1673213175""}",
2022,1673213117,2023-01-08T21:25:17+00:00,IR,0018,,0,,0,,0,"{""timestamp"":""1673213117"",""franchise"":""0018"",""activated"":""14224,"",""type"":""IR"",""deactivated"":""""}",
2022,1672610343,2023-01-01T21:59:03+00:00,FREE_AGENT,0005,13711,1,,0,,0,"{""franchise"":""0005"",""timestamp"":""1672610343"",""by_commish"":""1"",""type"":""FREE_AGENT"",""transaction"":""|13711,""}",
2022,1672610235,2023-01-01T21:57:15+00:00,TAXI,0005,,0,,0,,0,"{""demoted"":"""",""timestamp"":""1672610235"",""franchise"":""0005"",""promoted"":""14675,"",""type"":""TAXI""}",
2022,1672605188,2023-01-01T20:33:08+00:00,AUCTION_WON,0005,15782|0.90|,1,,0,,0,"{""timestamp"":""1672605188"",""franchise"":""0005"",""type"":""AUCTION_WON"",""transaction"":""15782|0.90|""}",
2022,1672601417,2023-01-01T19:30:17+00:00,IR,0015,,0,,0,,0,"{""activated"":""14908,"",""type"":""IR"",""deactivated"":"""",""franchise"":""0015"",""timestamp"":""1672601417""}",
2022,1672596085,2023-01-01T18:01:25+00:00,AUCTION_WON,0008,13434|0.90|,1,,0,,0,"{""franchise"":""0008"",""timestamp"":""1672596085"",""type"":""AUCTION_WON"",""transaction"":""13434|0.90|""}",
2022,1672594153,2023-01-01T17:29:13+00:00,IR,0017,,0,,0,,0,"{""timestamp"":""1672594153"",""franchise"":""0017"",""type"":""IR"",""activated"":""14908,"",""deactivated"":""12238,11382,""}",
2022,1672588198,2023-01-01T15:49:58+00:00,IR,0027,,0,,0,,0,"{""timestamp"":""1672588198"",""franchise"":""0027"",""activated"":""12686,"",""type"":""IR"",""deactivated"":""15797,""}",
2022,1672586977,2023-01-01T15:29:37+00:00,IR,0032,,0,,0,,0,"{""franchise"":""0032"",""timestamp"":""1672586977"",""activated"":"""",""type"":""IR"",""deactivated"":""11239,""}",
2022,1672586967,2023-01-01T15:29:27+00:00,TAXI,0032,,0,,0,,0,"{""franchise"":""0032"",""demoted"":"""",""timestamp"":""1672586967"",""type"":""TAXI"",""promoted"":""11239,""}",
2022,1672585570,2023-01-01T15:06:10+00:00,IR,0024,,0,,0,,0,"{""deactivated"":"""",""activated"":""15357,"",""type"":""IR"",""timestamp"":""1672585570"",""franchise"":""0024""}",
2022,1672580596,2023-01-01T13:43:16+00:00,AUCTION_WON,0001,9099|0.90|,1,,0,,0,"{""franchise"":""0001"",""timestamp"":""1672580596"",""type"":""AUCTION_WON"",""transaction"":""9099|0.90|""}",
2022,1672580596,2023-01-01T13:43:16+00:00,AUCTION_WON,0010,15016|0.90|,1,,0,,0,"{""type"":""AUCTION_WON"",""transaction"":""15016|0.90|"",""franchise"":""0010"",""timestamp"":""1672580596""}",
2022,1672580596,2023-01-01T13:43:16+00:00,AUCTION_WON,0010,14141|1.30|,1,,0,,0,"{""timestamp"":""1672580596"",""franchise"":""0010"",""transaction"":""14141|1.30|"",""type"":""AUCTION_WON""}",
2022,1672580596,2023-01-01T13:43:16+00:00,AUCTION_WON,0001,13998|1.30|,1,,0,,0,"{""transaction"":""13998|1.30|"",""type"":""AUCTION_WON"",""franchise"":""0001"",""timestamp"":""1672580596""}",
2022,1672580596,2023-01-01T13:43:16+00:00,AUCTION_WON,0001,13263|1.30|,1,,0,,0,"{""timestamp"":""1672580596"",""franchise"":""0001"",""type"":""AUCTION_WON"",""transaction"":""13263|1.30|""}",
2022,1672580596,2023-01-01T13:43:16+00:00,AUCTION_WON,0001,11382|1.30|,1,,0,,0,"{""franchise"":""0001"",""timestamp"":""1672580596"",""transaction"":""11382|1.30|"",""type"":""AUCTION_WON""}",
2022,1672551833,2023-01-01T05:43:53+00:00,IR,0008,,0,,0,,0,"{""activated"":""12686,"",""type"":""IR"",""deactivated"":"""",""franchise"":""0008"",""timestamp"":""1672551833""}",
2022,1672511384,2022-12-31T18:29:44+00:00,AUCTION_BID,0010,14141|1.30|Chicago Bears forced bid increase,1,,0,,0,"{""transaction"":""14141|1.30|Chicago Bears forced bid increase"",""type"":""AUCTION_BID"",""franchise"":""0010"",""timestamp"":""1672511384""}",
2022,1672511337,2022-12-31T18:28:57+00:00,AUCTION_INIT,0005,15782|0.90|,1,,0,,0,"{""timestamp"":""1672511337"",""franchise"":""0005"",""transaction"":""15782|0.90|"",""type"":""AUCTION_INIT""}",
2022,1672511289,2022-12-31T18:28:09+00:00,TAXI,0005,,0,,0,,0,"{""timestamp"":""1672511289"",""demoted"":""14675,13711,"",""franchise"":""0005"",""promoted"":"""",""type"":""TAXI""}",
2022,1672508912,2022-12-31T17:48:32+00:00,AUCTION_INIT,0008,13434|0.90|,1,,0,,0,"{""franchise"":""0008"",""timestamp"":""1672508912"",""transaction"":""13434|0.90|"",""type"":""AUCTION_INIT""}",
2022,1672508662,2022-12-31T17:44:22+00:00,IR,0008,,0,,0,,0,"{""franchise"":""0008"",""timestamp"":""1672508662"",""activated"":"""",""type"":""IR"",""deactivated"":""12756,""}",
2022,1672460642,2022-12-31T04:24:02+00:00,TAXI,0032,,0,,0,,0,"{""promoted"":""11793,"",""type"":""TAXI"",""demoted"":""11239,"",""timestamp"":""1672460642"",""franchise"":""0032""}",
2022,1672460549,2022-12-31T04:22:29+00:00,AUCTION_WON,0032,14067|0.90|,1,,0,,0,"{""transaction"":""14067|0.90|"",""type"":""AUCTION_WON"",""timestamp"":""1672460549"",""franchise"":""0032""}",
2022,1672459496,2022-12-31T04:04:56+00:00,AUCTION_INIT,0010,15016|0.90|,1,,0,,0,"{""transaction"":""15016|0.90|"",""type"":""AUCTION_INIT"",""franchise"":""0010"",""timestamp"":""1672459496""}",
2022,1672459373,2022-12-31T04:02:53+00:00,AUCTION_INIT,0010,14141|0.90|,1,,0,,0,"{""transaction"":""14141|0.90|"",""type"":""AUCTION_INIT"",""timestamp"":""1672459373"",""franchise"":""0010""}",
2022,1672459258,2022-12-31T04:00:58+00:00,AUCTION_BID,0001,13263|1.30|Carolina Panthers forced bid increase,1,,0,,0,"{""transaction"":""13263|1.30|Carolina Panthers forced bid increase"",""type"":""AUCTION_BID"",""timestamp"":""1672459258"",""franchise"":""0001""}",
2022,1672459252,2022-12-31T04:00:52+00:00,AUCTION_BID,0001,11382|1.30|Carolina Panthers forced bid increase,1,,0,,0,"{""transaction"":""11382|1.30|Carolina Panthers forced bid increase"",""type"":""AUCTION_BID"",""franchise"":""0001"",""timestamp"":""1672459252""}",
2022,1672459243,2022-12-31T04:00:43+00:00,AUCTION_BID,0001,13998|1.30|Carolina Panthers forced bid increase,1,,0,,0,"{""franchise"":""0001"",""timestamp"":""1672459243"",""transaction"":""13998|1.30|Carolina Panthers forced bid increase"",""type"":""AUCTION_BID""}",
2022,1672459213,2022-12-31T04:00:13+00:00,IR,0010,,0,,0,,0,"{""timestamp"":""1672459213"",""franchise"":""0010"",""type"":""IR"",""activated"":"""",""deactivated"":""15797,""}",
2022,1672445033,2022-12-31T00:03:53+00:00,AUCTION_INIT,0001,13263|0.90|,1,,0,,0,"{""type"":""AUCTION_INIT"",""transaction"":""13263|0.90|"",""timestamp"":""1672445033"",""franchise"":""0001""}",
2022,1672444884,2022-12-31T00:01:24+00:00,AUCTION_INIT,0001,11382|0.90|,1,,0,,0,"{""franchise"":""0001"",""timestamp"":""1672444884"",""transaction"":""11382|0.90|"",""type"":""AUCTION_INIT""}",
2022,1672444727,2022-12-30T23:58:47+00:00,AUCTION_INIT,0001,13998|0.90|,1,,0,,0,"{""type"":""AUCTION_INIT"",""transaction"":""13998|0.90|"",""timestamp"":""1672444727"",""franchise"":""0001""}",
2022,1672444711,2022-12-30T23:58:31+00:00,AUCTION_INIT,0001,9099|0.90|,1,,0,,0,"{""franchise"":""0001"",""timestamp"":""1672444711"",""type"":""AUCTION_INIT"",""transaction"":""9099|0.90|""}",
2022,1672441732,2022-12-30T23:08:52+00:00,TAXI,0004,,0,,0,,0,"{""demoted"":"""",""timestamp"":""1672441732"",""franchise"":""0004"",""promoted"":""13592,"",""type"":""TAXI""}",
2022,1672441714,2022-12-30T23:08:34+00:00,FREE_AGENT,0004,12308,1,,0,,0,"{""type"":""FREE_AGENT"",""transaction"":""|12308,"",""timestamp"":""1672441714"",""franchise"":""0004""}",
2022,1672439220,2022-12-30T22:27:00+00:00,TAXI,0005,,0,,0,,0,"{""type"":""TAXI"",""promoted"":""11679,15911,"",""franchise"":""0005"",""timestamp"":""1672439220"",""demoted"":""""}",
2022,1672439220,2022-12-30T22:27:00+00:00,FREE_AGENT,0005,13416;13893,2,,0,,0,"{""franchise"":""0005"",""timestamp"":""1672439220"",""type"":""FREE_AGENT"",""transaction"":""|13416,13893,""}",
2022,1672430587,2022-12-30T20:03:07+00:00,TAXI,0016,,0,,0,,0,"{""franchise"":""0016"",""demoted"":"""",""timestamp"":""1672430587"",""type"":""TAXI"",""promoted"":""15250,""}",
2022,1672430473,2022-12-30T20:01:13+00:00,TAXI,0016,,0,,0,,0,"{""demoted"":""15250,"",""timestamp"":""1672430473"",""franchise"":""0016"",""promoted"":"""",""type"":""TAXI""}",
2022,1672427422,2022-12-30T19:10:22+00:00,IR,0003,,0,,0,,0,"{""timestamp"":""1672427422"",""franchise"":""0003"",""deactivated"":""14924,"",""activated"":""13726,"",""type"":""IR""}",
2022,1672422195,2022-12-30T17:43:15+00:00,AUCTION_WON,0004,13688|1.30|,1,,0,,0,"{""type"":""AUCTION_WON"",""transaction"":""13688|1.30|"",""timestamp"":""1672422195"",""franchise"":""0004""}",
2022,1672394400,2022-12-30T10:00:00+00:00,WAIVER,0008,,0,15723,1,,0,"{""timestamp"":""1672394400"",""added"":""15723,"",""franchise"":""0008"",""dropped"":"""",""type"":""WAIVER""}",
2022,1672394400,2022-12-30T10:00:00+00:00,WAIVER,0032,,0,14849,1,,0,"{""added"":""14849,"",""timestamp"":""1672394400"",""franchise"":""0032"",""dropped"":"""",""type"":""WAIVER""}",
2022,1672394400,2022-12-30T10:00:00+00:00,AUTO_PROCESS_WAIVERS,,,0,,0,,0,"{""type"":""AUTO_PROCESS_WAIVERS"",""transaction"":"""",""franchise"":"""",""timestamp"":""1672394400""}",
2022,1672364858,2022-12-30T01:47:38+00:00,TAXI,0032,,0,,0,,0,"{""type"":""TAXI"",""promoted"":"""",""franchise"":""0032"",""demoted"":""11793,"",""timestamp"":""1672364858""}",
2022,1672362711,2022-12-30T01:11:51+00:00,AUCTION_INIT,0032,14067|0.90|,1,,0,,0,"{""timestamp"":""1672362711"",""franchise"":""0032"",""transaction"":""14067|0.90|"",""type"":""AUCTION_INIT""}",
2022,1672362461,2022-12-30T01:07:41+00:00,IR,0032,,0,,0,,0,"{""deactivated"":""10753,"",""activated"":"""",""type"":""IR"",""franchise"":""0032"",""timestamp"":""1672362461""}",
2022,1672346060,2022-12-29T20:34:20+00:00,AUCTION_WON,0006,12317|0.90|,1,,0,,0,"{""type"":""AUCTION_WON"",""transaction"":""12317|0.90|"",""timestamp"":""1672346060"",""franchise"":""0006""}",
2022,1672329017,2022-12-29T15:50:17+00:00,AUCTION_BID,0004,13688|1.30|Los Angeles Rams forced bid increase,1,,0,,0,"{""franchise"":""0004"",""timestamp"":""1672329017"",""transaction"":""13688|1.30|Los Angeles Rams forced bid increase"",""type"":""AUCTION_BID""}",
2022,1672297302,2022-12-29T07:01:42+00:00,AUCTION_INIT,0004,13688|0.90|,1,,0,,0,"{""timestamp"":""1672297302"",""franchise"":""0004"",""type"":""AUCTION_INIT"",""transaction"":""13688|0.90|""}",
2022,1672295069,2022-12-29T06:24:29+00:00,FREE_AGENT,0013,15723,1,,0,,0,"{""timestamp"":""1672295069"",""franchise"":""0013"",""type"":""FREE_AGENT"",""transaction"":""|15723,""}",
2022,1672288517,2022-12-29T04:35:17+00:00,AUCTION_WON,0016,13722|0.90|,1,,0,,0,"{""transaction"":""13722|0.90|"",""type"":""AUCTION_WON"",""timestamp"":""1672288517"",""franchise"":""0016""}",
2022,1672272055,2022-12-29T00:00:55+00:00,AUCTION_INIT,0006,15408|0.90|,1,,0,,0,"{""timestamp"":""1672272055"",""franchise"":""0006"",""transaction"":""15408|0.90|"",""type"":""AUCTION_INIT""}",
2022,1672271430,2022-12-28T23:50:30+00:00,AUCTION_INIT,0006,14846|0.90|,1,,0,,0,"{""type"":""AUCTION_INIT"",""transaction"":""14846|0.90|"",""timestamp"":""1672271430"",""franchise"":""0006""}",
