season,week,id,score,isAvailable
2021,17,14777,77.0,1
2021,17,15281,61.7,1
2021,17,5848,58.5,1
2021,17,10703,52.2,1
2021,17,7836,51.2,1
2021,17,13116,47.8,1
2021,17,15241,47.3,1
2021,17,14056,43.6,1
2021,17,14779,41.3,1
2021,17,14057,40.2,1
2021,17,15240,37.9,1
2021,17,13322,37.1,1
2021,17,13608,36.0,1
2021,17,12620,35.4,1
2021,17,14783,34.7,1
2021,17,15254,33.7,1
2021,17,13774,33.4,1
2021,17,15287,33.3,1
2021,17,13424,32.9,1
2021,17,15239,30.3,1
2021,17,13214,30.0,1
2021,17,13733,29.1,1
2021,17,11675,26.2,1
2021,17,13813,24.7,1
2021,17,10292,24.6,1
2021,17,13623,24.4,1
2021,17,9431,24.3,1
2021,17,14940,23.8,1
2021,17,15259,23.4,1
2021,17,14162,23.0,1
2021,17,13232,22.0,1
2021,17,14102,21.8,1
2021,17,13871,21.6,1
2021,17,15263,21.5,1
2021,17,13176,21.3,1
2021,17,13164,21.0,1
2021,17,13952,21.0,1
2021,17,14080,21.0,1
2021,17,12688,20.9,1
2021,17,14918,20.6,1
2021,17,14154,20.5,1
2021,17,14840,20.3,1
2021,17,10267,20.2,1
2021,17,11757,20.0,1
2021,17,14137,19.9,1
2021,17,14962,19.8,1
2021,17,13690,19.8,1
2021,17,13814,19.7,1
2021,17,10266,19.7,1
2021,17,14991,19.6,1
2021,17,14802,19.3,1
2021,17,14805,19.1,1
2021,17,13743,19.0,1
2021,17,14224,19.0,1
2021,17,9902,19.0,1
2021,17,13134,18.9,1
2021,17,13703,18.9,1
2021,17,13404,18.9,1
2021,17,13777,18.8,1
2021,17,13652,18.7,1
2021,17,15260,18.6,1
2021,17,12145,18.6,1
2021,17,15464,18.5,1
2021,17,12741,18.4,1
2021,17,13801,18.3,1
2021,17,12437,18.1,1
2021,17,14716,18.0,1
2021,17,11359,18.0,1
2021,17,13266,18.0,1
2021,17,14095,17.9,1
2021,17,11706,17.8,1
2021,17,12697,17.7,1
2021,17,14339,17.7,1
2021,17,13693,17.5,1
2021,17,13632,17.4,1
2021,17,12476,17.4,1
2021,17,13759,17.3,1
2021,17,11936,17.2,1
2021,17,14964,17.0,1
2021,17,10753,17.0,1
2021,17,15078,17.0,1
2021,17,11644,16.7,1
2021,17,14127,16.6,1
2021,17,12610,16.5,1
2021,17,13671,16.3,1
2021,17,15229,16.2,1
2021,17,13873,16.2,1
2021,17,11010,16.2,1
2021,17,15029,16.1,1
2021,17,12343,16.0,1
2021,17,13132,16.0,1
2021,17,13917,16.0,1
2021,17,15375,16.0,1
2021,17,10976,15.9,1
2021,17,15346,15.9,1
2021,17,12645,15.9,1
2021,17,12292,15.8,1
2021,17,14600,15.8,1
2021,17,14997,15.8,1
2021,17,14123,15.7,1
2021,17,13418,15.6,1
2021,17,12270,15.5,1
2021,17,12157,15.5,1
2021,17,8930,15.4,1
2021,17,13319,15.2,1
2021,17,11947,15.1,1
2021,17,13154,15.1,1
2021,17,13736,15.0,1
2021,17,12225,15.0,1
2021,17,14887,15.0,1
2021,17,13839,15.0,1
2021,17,13959,15.0,1
2021,17,15177,15.0,1
2021,17,14075,14.9,1
2021,17,12783,14.8,1
2021,17,10697,14.6,1
2021,17,14161,14.5,1
2021,17,13718,14.5,1
2021,17,14921,14.5,1
2021,17,15034,14.4,1
2021,17,14857,14.2,1
2021,17,13710,14.0,1
2021,17,15362,14.0,1
2021,17,11017,14.0,1
2021,17,13798,14.0,1
2021,17,14136,13.9,1
2021,17,14897,13.6,1
2021,17,14149,13.5,1
2021,17,15366,13.5,1
2021,17,15396,13.5,1
2021,17,14167,13.0,1
2021,17,13265,13.0,1
2021,17,12218,12.8,1
2021,17,13251,12.7,1
2021,17,13148,12.6,1
2021,17,15489,12.5,1
2021,17,12700,12.5,1
2021,17,14865,12.5,1
2021,17,13638,12.4,1
2021,17,13256,12.3,1
2021,17,13674,12.2,1
2021,17,13920,12.0,1
2021,17,14198,12.0,1
2021,17,12772,12.0,1
2021,17,14217,12.0,1
2021,17,14130,12.0,1
2021,17,12716,12.0,1
2021,17,14268,12.0,1
2021,17,12750,12.0,1
2021,17,12238,12.0,1
2021,17,12164,11.9,1
2021,17,10261,11.8,1
2021,17,13607,11.8,1
2021,17,15432,11.5,1
2021,17,14977,11.5,1
2021,17,14073,11.5,1
2021,17,13696,11.5,1
2021,17,12764,11.5,1
2021,17,14930,11.5,1
2021,17,12734,11.5,1
2021,17,15528,11.4,1
2021,17,11671,11.4,1
2021,17,13633,11.3,1
2021,17,15329,11.3,1
2021,17,14672,11.2,1
2021,17,12083,11.2,1
2021,17,11674,11.2,1
2021,17,13963,11.2,1
2021,17,15258,11.1,1
2021,17,12686,11.0,1
2021,17,14951,11.0,1
2021,17,13706,11.0,1
2021,17,14904,11.0,1
2021,17,9051,11.0,1
2021,17,12714,11.0,1
2021,17,14260,11.0,1
2021,17,14180,11.0,1
2021,17,10729,11.0,1
2021,17,13604,10.9,1
2021,17,13909,10.9,1
2021,17,10269,10.9,1
2021,17,12246,10.8,1
2021,17,9714,10.8,1
2021,17,8742,10.8,1
2021,17,13980,10.7,1
2021,17,14113,10.6,1
2021,17,12698,10.6,1
2021,17,14858,10.6,1
2021,17,13208,10.5,1
2021,17,13779,10.5,1
2021,17,14322,10.5,1
2021,17,15543,10.5,1
2021,17,13747,10.5,1
2021,17,11283,10.5,1
2021,17,15461,10.5,1
2021,17,12701,10.3,1
2021,17,14974,10.3,1
2021,17,15357,10.2,1
2021,17,12785,10.1,1
2021,17,13207,10.1,1
2021,17,15261,10.1,1
2021,17,15402,10.0,1
2021,17,14675,10.0,1
2021,17,15082,10.0,1
2021,17,11772,10.0,1
2021,17,13888,10.0,1
2021,17,15403,10.0,1
2021,17,12738,10.0,1
2021,17,11728,10.0,1
2021,17,14028,10.0,1
2021,17,15114,10.0,1
2021,17,13293,10.0,1
2021,17,14269,10.0,1
2021,17,12356,10.0,1
2021,17,12215,10.0,1
2021,17,12817,10.0,1
2021,17,13263,10.0,1
2021,17,14835,9.9,1
2021,17,14555,9.8,1
2021,17,15394,9.8,1
2021,17,13646,9.7,1
2021,17,15350,9.5,1
2021,17,15364,9.5,1
2021,17,12305,9.5,1
2021,17,15358,9.5,1
2021,17,14218,9.5,1
2021,17,12720,9.5,1
2021,17,13303,9.5,1
2021,17,15390,9.5,1
2021,17,12779,9.5,1
2021,17,12231,9.5,1
2021,17,13630,9.5,1
2021,17,11660,9.4,1
2021,17,14150,9.3,1
2021,17,11679,9.3,1
2021,17,12678,9.3,1
2021,17,12187,9.2,1
2021,17,12233,9.1,1
2021,17,12756,9.1,1
2021,17,13711,9.0,1
2021,17,13414,9.0,1
2021,17,9919,9.0,1
2021,17,15016,9.0,1
2021,17,15492,9.0,1
2021,17,12770,9.0,1
2021,17,11374,9.0,1
2021,17,14908,9.0,1
2021,17,12252,9.0,1
2021,17,13727,9.0,1
2021,17,14252,9.0,1
2021,17,12151,8.9,1
2021,17,8153,8.9,1
2021,17,14927,8.9,1
2021,17,14236,8.8,1
2021,17,14109,8.7,1
2021,17,13131,8.7,1
2021,17,14832,8.7,1
2021,17,13229,8.5,1
2021,17,10762,8.5,1
2021,17,14182,8.5,1
2021,17,12360,8.5,1
2021,17,14680,8.5,1
2021,17,13719,8.4,1
2021,17,14158,8.3,1
2021,17,12650,8.2,1
2021,17,13192,8.1,1
2021,17,12707,8.1,1
2021,17,13895,8.1,1
2021,17,13700,8.1,1
2021,17,13762,8.0,1
2021,17,15001,8.0,1
2021,17,14153,8.0,1
2021,17,11791,8.0,1
2021,17,12217,8.0,1
2021,17,13742,8.0,1
2021,17,14923,8.0,1
