season,week,id,score,isAvailable
2024,1,13590,63.7,1
2024,1,13589,49.2,1
2024,1,14778,47.0,1
2024,1,13593,46.8,1
2024,1,11644,41.9,1
2024,1,16184,39.7,1
2024,1,11936,38.7,1
2024,1,13116,37.7,1
2024,1,16152,37.0,1
2024,1,13604,34.9,1
2024,1,16150,31.9,1
2024,1,15698,31.7,1
2024,1,16286,30.5,1
2024,1,14923,29.6,1
2024,1,16267,29.5,1
2024,1,14179,29.0,1
2024,1,16444,29.0,1
2024,1,15768,28.5,1
2024,1,9431,28.3,1
2024,1,16414,28.2,1
2024,1,13131,28.1,1
2024,1,14800,27.3,1
2024,1,11769,27.2,1
2024,1,14782,27.0,1
2024,1,15346,26.7,1
2024,1,13592,26.3,1
2024,1,15756,25.8,1
2024,1,15972,24.4,1
2024,1,12686,23.7,1
2024,1,14249,23.0,1
2024,1,13632,22.8,1
2024,1,14104,22.8,1
2024,1,15856,22.7,1
2024,1,12860,22.6,1
2024,1,14924,22.4,1
2024,1,13738,22.4,1
2024,1,12239,22.3,1
2024,1,13933,22.0,1
2024,1,14412,21.7,1
2024,1,11150,21.6,1
2024,1,12801,21.5,1
2024,1,14322,21.5,1
2024,1,15284,21.4,1
2024,1,15798,21.2,1
2024,1,16244,21.0,1
2024,1,13319,20.8,1
2024,1,11721,20.6,1
2024,1,16620,20.6,1
2024,1,14182,20.5,1
2024,1,16262,20.3,1
2024,1,13163,20.1,1
2024,1,15238,20.0,1
2024,1,14928,20.0,1
2024,1,12688,19.7,1
2024,1,16581,19.6,1
2024,1,13730,19.6,1
2024,1,15290,19.4,1
2024,1,15259,19.2,1
2024,1,11671,18.7,1
2024,1,16194,18.6,1
2024,1,12697,18.5,1
2024,1,13132,18.5,1
2024,1,13214,18.3,1
2024,1,15237,18.2,1
2024,1,14056,18.1,1
2024,1,12611,17.9,1
2024,1,13810,17.8,1
2024,1,14669,17.7,1
2024,1,15894,17.6,1
2024,1,15350,17.5,1
2024,1,13268,17.5,1
2024,1,13813,17.0,1
2024,1,16167,17.0,1
2024,1,16759,16.7,1
2024,1,12305,16.6,1
2024,1,15484,16.6,1
2024,1,14071,16.6,1
2024,1,13164,16.5,1
2024,1,13806,16.5,1
2024,1,15711,16.3,1
2024,1,16018,16.2,1
2024,1,14903,16.2,1
2024,1,16080,16.1,1
2024,1,14908,16.1,1
2024,1,14717,15.9,1
2024,1,15282,15.8,1
2024,1,14779,15.7,1
2024,1,15716,15.3,1
2024,1,11945,15.1,1
2024,1,13146,15.1,1
2024,1,15950,15.0,1
2024,1,14180,15.0,1
2024,1,11313,15.0,1
2024,1,10783,15.0,1
2024,1,14085,14.8,1
2024,1,14315,14.8,1
2024,1,16887,14.7,1
2024,1,16161,14.7,1
2024,1,15836,14.7,1
2024,1,16529,14.7,1
2024,1,9051,14.6,1
2024,1,14893,14.6,1
2024,1,15379,14.5,1
2024,1,15871,14.5,1
2024,1,16014,14.5,1
2024,1,14472,14.5,1
2024,1,13693,14.4,1
2024,1,12842,14.4,1
2024,1,14777,14.3,1
2024,1,7836,14.2,1
2024,1,12741,14.2,1
2024,1,14067,14.0,1
2024,1,13274,14.0,1
2024,1,16279,14.0,1
2024,1,14921,14.0,1
2024,1,16350,14.0,1
2024,1,12187,13.9,1
2024,1,12186,13.8,1
2024,1,15398,13.8,1
2024,1,15853,13.7,1
2024,1,13696,13.5,1
2024,1,14169,13.5,1
2024,1,13700,13.5,1
2024,1,14159,13.4,1
2024,1,14630,13.3,1
2024,1,13687,13.1,1
2024,1,13198,13.1,1
2024,1,15366,13.0,1
2024,1,15831,13.0,1
2024,1,13774,13.0,1
2024,1,15352,13.0,1
2024,1,15461,13.0,1
2024,1,16690,13.0,1
2024,1,12276,13.0,1
2024,1,13731,13.0,1
2024,1,12616,12.9,1
2024,1,16618,12.9,1
2024,1,15815,12.8,1
2024,1,14836,12.8,1
2024,1,13844,12.7,1
2024,1,16284,12.5,1
2024,1,15032,12.5,1
2024,1,10775,12.5,1
2024,1,16265,12.5,1
2024,1,14845,12.4,1
2024,1,14860,12.3,1
2024,1,14225,12.3,1
2024,1,14864,12.3,1
2024,1,15721,12.2,1
2024,1,15749,12.1,1
2024,1,16283,12.1,1
2024,1,14213,12.1,1
2024,1,13743,12.0,1
2024,1,15862,12.0,1
2024,1,16457,12.0,1
2024,1,13707,12.0,1
2024,1,15761,11.9,1
2024,1,13798,11.9,1
2024,1,14127,11.8,1
2024,1,16162,11.8,1
2024,1,14149,11.7,1
2024,1,15979,11.7,1
2024,1,14798,11.7,1
2024,1,15868,11.6,1
2024,1,15715,11.6,1
2024,1,16705,11.5,1
2024,1,14933,11.5,1
2024,1,15805,11.5,1
2024,1,14162,11.5,1
2024,1,16311,11.3,1
2024,1,12219,11.2,1
2024,1,16653,11.1,1
2024,1,13744,11.0,1
2024,1,15007,11.0,1
2024,1,16330,11.0,1
2024,1,16703,11.0,1
2024,1,15839,11.0,1
2024,1,13762,11.0,1
2024,1,15821,11.0,1
2024,1,15849,11.0,1
2024,1,16241,11.0,1
2024,1,13706,11.0,1
2024,1,15923,11.0,1
2024,1,15846,11.0,1
2024,1,13085,11.0,1
2024,1,16753,11.0,1
2024,1,15281,10.9,1
2024,1,14223,10.9,1
2024,1,13404,10.9,1
2024,1,13275,10.8,1
2024,1,13775,10.8,1
2024,1,14489,10.6,1
2024,1,14239,10.6,1
2024,1,15869,10.5,1
2024,1,14210,10.5,1
2024,1,15351,10.5,1
2024,1,15762,10.5,1
2024,1,13987,10.5,1
2024,1,14207,10.5,1
2024,1,12361,10.5,1
2024,1,12691,10.3,1
2024,1,15833,10.3,1
2024,1,14832,10.2,1
2024,1,13139,10.2,1
2024,1,16314,10.1,1
2024,1,13869,10.1,1
2024,1,15359,10.0,1
2024,1,14257,10.0,1
2024,1,13448,10.0,1
2024,1,13710,10.0,1
2024,1,15822,10.0,1
2024,1,16236,10.0,1
2024,1,13760,10.0,1
2024,1,15117,10.0,1
2024,1,16699,10.0,1
2024,1,11675,9.8,1
2024,1,12956,9.8,1
2024,1,14783,9.7,1
2024,1,12620,9.7,1
2024,1,14256,9.7,1
2024,1,16598,9.7,1
2024,1,16615,9.7,1
2024,1,16164,9.6,1
2024,1,12795,9.6,1
2024,1,14161,9.5,1
2024,1,14672,9.5,1
2024,1,16694,9.5,1
2024,1,13253,9.5,1
2024,1,15819,9.5,1
2024,1,11286,9.5,1
2024,1,13289,9.5,1
2024,1,13260,9.4,1
2024,1,12437,9.4,1
2024,1,16650,9.3,1
2024,1,16276,9.3,1
2024,1,13431,9.3,1
2024,1,12625,9.3,1
2024,1,11938,9.3,1
2024,1,14600,9.1,1
2024,1,16680,9.1,1
2024,1,15392,9.0,1
2024,1,16677,9.0,1
2024,1,15875,9.0,1
2024,1,13703,9.0,1
2024,1,14153,9.0,1
2024,1,13199,9.0,1
2024,1,15441,9.0,1
2024,1,13251,9.0,1
2024,1,16016,9.0,1
2024,1,15851,9.0,1
2024,1,14940,9.0,1
2024,1,16257,9.0,1
2024,1,16246,9.0,1
2024,1,13748,9.0,1
2024,1,11348,9.0,1
2024,1,15713,8.8,1
2024,1,15362,8.8,1
2024,1,10413,8.6,1
2024,1,13692,8.5,1
2024,1,11674,8.5,1
2024,1,15140,8.5,1
2024,1,13717,8.5,1
2024,1,14995,8.5,1
2024,1,11728,8.5,1
2024,1,9596,8.5,1
2024,1,16263,8.5,1
2024,1,13691,8.5,1
2024,1,14221,8.5,1
2024,1,14983,8.4,1
2024,1,16628,8.4,1
2024,1,9694,8.3,1
2024,1,16234,8.3,1
2024,1,15786,8.2,1
2024,1,16617,8.2,1
2024,1,11387,8.1,1
2024,1,16641,8.1,1
2024,1,11872,8.0,1
2024,1,15378,8.0,1
2024,1,13702,8.0,1
2024,1,15394,8.0,1
2024,1,15445,8.0,1
2024,1,12699,8.0,1
2024,1,14197,8.0,1
2024,1,14186,8.0,1
2024,1,12225,8.0,1
2024,1,14200,8.0,1
2024,1,12231,8.0,1
2024,1,15355,8.0,1
2024,1,12952,8.0,1
2024,1,13754,8.0,1
2024,1,14171,8.0,1
2024,1,10266,8.0,1
2024,1,15888,8.0,1
2024,1,16324,8.0,1
2024,1,14871,7.9,1
2024,1,12301,7.9,1
2024,1,15368,7.8,1
2024,1,14861,7.7,1
2024,1,14218,7.7,1
2024,1,16169,7.7,1
2024,1,14802,7.6,1
2024,1,13447,7.5,1
2024,1,15345,7.5,1
2024,1,16724,7.5,1
2024,1,14899,7.5,1
2024,1,13742,7.5,1
2024,1,10267,7.5,1
2024,1,13265,7.5,1
2024,1,14268,7.5,1
2024,1,13332,7.5,1
2024,1,15889,7.5,1
2024,1,15329,7.4,1
2024,1,15446,7.3,1
2024,1,14073,7.3,1
2024,1,14151,7.3,1
2024,1,16627,7.3,1
2024,1,12626,7.2,1
2024,1,15708,7.1,1
2024,1,14136,7.1,1
2024,1,16432,7.1,1
2024,1,16519,7.0,1
2024,1,12988,7.0,1
2024,1,15943,7.0,1
2024,1,16261,7.0,1
2024,1,13920,7.0,1
2024,1,12754,7.0,1
2024,1,14086,7.0,1
2024,1,16214,7.0,1
2024,1,13770,7.0,1
2024,1,15423,7.0,1
2024,1,14978,7.0,1
2024,1,14950,7.0,1
2024,1,11768,7.0,1
2024,1,16138,7.0,1
2024,1,15003,7.0,1
2024,1,15835,7.0,1
2024,1,15373,7.0,1
2024,1,13684,7.0,1
2024,1,15859,7.0,1
2024,1,15850,7.0,1
2024,1,13837,7.0,1
2024,1,15356,7.0,1
2024,1,15595,7.0,1
2024,1,15337,6.9,1
2024,1,16204,6.8,1
2024,1,15710,6.8,1
2024,1,14108,6.7,1
2024,1,15349,6.7,1
2024,1,15878,6.7,1
2024,1,14303,6.5,1
2024,1,16696,6.5,1
2024,1,14590,6.5,1
2024,1,15393,6.5,1
2024,1,16239,6.5,1
2024,1,15807,6.5,1
2024,1,12734,6.5,1
2024,1,16775,6.5,1
2024,1,13714,6.5,1
2024,1,13713,6.5,1
2024,1,11367,6.5,1
2024,1,13325,6.5,1
2024,1,15081,6.5,1
2024,1,14157,6.5,1
2024,1,13641,6.4,1
2024,1,16211,6.4,1
2024,1,13791,6.3,1
2024,1,16192,6.1,1
2024,1,13284,6.0,1
2024,1,16255,6.0,1
2024,1,14405,6.0,1
2024,1,15244,6.0,1
2024,1,13208,6.0,1
2024,1,13832,6.0,1
2024,1,12218,6.0,1
2024,1,14957,6.0,1
2024,1,11281,6.0,1
2024,1,12714,6.0,1
2024,1,15785,6.0,1
2024,1,16247,6.0,1
2024,1,14414,6.0,1
2024,1,14163,6.0,1
2024,1,16305,6.0,1
2024,1,16295,6.0,1
2024,1,16223,6.0,1
2024,1,15832,6.0,1
2024,1,14954,6.0,1
2024,1,15384,6.0,1
2024,1,13258,6.0,1
2024,1,16698,6.0,1
2024,1,15733,6.0,1
2024,1,13737,6.0,1
2024,1,13288,6.0,1
2024,1,15448,6.0,1
2024,1,13755,6.0,1
2024,1,13303,5.9,1
2024,1,15254,5.8,1
2024,1,15293,5.6,1
2024,1,15382,5.6,1
2024,1,16364,5.6,1
2024,1,15860,5.5,1
2024,1,16665,5.5,1
2024,1,14897,5.5,1
2024,1,15753,5.5,1
2024,1,12767,5.5,1
2024,1,12981,5.5,1
2024,1,16679,5.5,1
2024,1,13299,5.5,1
2024,1,13354,5.5,1
2024,1,12323,5.5,1
2024,1,13635,5.5,1
2024,1,16186,5.5,1
2024,1,15473,5.5,1
2024,1,14991,5.5,1
2024,1,16280,5.5,1
2024,1,11793,5.5,1
2024,1,12735,5.5,1
2024,1,15858,5.5,1
2024,1,13629,5.5,1
2024,1,15412,5.5,1
2024,1,15094,5.5,1
2024,1,14870,5.4,1
2024,1,15788,5.4,1
2024,1,13192,5.3,1
2024,1,13719,5.2,1
2024,1,16010,5.2,1
2024,1,13424,5.2,1
2024,1,13680,5.1,1
2024,1,10814,5.1,1
2024,1,14251,5.0,1
2024,1,15965,5.0,1
2024,1,14919,5.0,1
2024,1,14147,5.0,1
2024,1,13227,5.0,1
2024,1,14918,5.0,1
2024,1,12217,5.0,1
2024,1,16260,5.0,1
2024,1,12287,5.0,1
2024,1,14904,5.0,1
2024,1,15404,5.0,1
2024,1,15926,5.0,1
2024,1,14910,5.0,1
2024,1,13249,5.0,1
2024,1,14219,5.0,1
2024,1,13690,5.0,1
2024,1,10768,5.0,1
2024,1,13776,5.0,1
2024,1,15375,5.0,1
2024,1,12221,5.0,1
2024,1,14283,5.0,1
2024,1,12764,5.0,1
2024,1,16264,5.0,1
2024,1,16013,5.0,1
2024,1,14518,5.0,1
2024,1,13470,5.0,1
2024,1,15863,5.0,1
2024,1,13168,5.0,1
2024,1,12238,5.0,1
2024,1,16672,5.0,1
2024,1,12785,4.9,1
2024,1,16185,4.8,1
2024,1,14252,4.8,1
2024,1,8930,4.7,1
2024,1,16385,4.7,1
2024,1,8851,4.6,1
2024,1,13688,4.6,1
2024,1,16188,4.6,1
2024,1,15001,4.5,1
2024,1,13231,4.5,1
2024,1,15076,4.5,1
2024,1,16846,4.5,1
2024,1,13839,4.5,1
2024,1,12758,4.5,1
2024,1,13769,4.5,1
2024,1,14930,4.5,1
2024,1,14209,4.5,1
2024,1,12718,4.5,1
2024,1,16235,4.5,1
2024,1,14889,4.5,1
2024,1,13848,4.5,1
2024,1,12796,4.5,1
