season,week,id,score,isAvailable
2022,9,15238,58.3,1
2022,9,13116,57.5,1
2022,9,14778,57.1,1
2022,9,13131,55.7,1
2022,9,11150,40.7,1
2022,9,15237,40.5,1
2022,9,14777,36.0,1
2022,9,11644,35.6,1
2022,9,15871,32.9,1
2022,9,12801,31.6,1
2022,9,14783,30.5,1
2022,9,13590,30.0,1
2022,9,13593,29.1,1
2022,9,11675,28.2,1
2022,9,12988,25.6,1
2022,9,12626,25.0,1
2022,9,5848,24.9,1
2022,9,12764,24.8,1
2022,9,15887,24.6,1
2022,9,13723,24.3,1
2022,9,14779,23.1,1
2022,9,15352,23.0,1
2022,9,15712,22.6,1
2022,9,13674,22.5,1
2022,9,12795,22.5,1
2022,9,10277,22.5,1
2022,9,15711,22.3,1
2022,9,15253,22.2,1
2022,9,10700,21.7,1
2022,9,11721,21.6,1
2022,9,14836,21.5,1
2022,9,12630,20.8,1
2022,9,13699,20.0,1
2022,9,12688,19.8,1
2022,9,14925,19.7,1
2022,9,15381,19.5,1
2022,9,13164,19.5,1
2022,9,15833,19.4,1
2022,9,12221,19.0,1
2022,9,8851,18.9,1
2022,9,13157,18.7,1
2022,9,15849,18.6,1
2022,9,15284,18.5,1
2022,9,10783,18.3,1
2022,9,15717,18.3,1
2022,9,13760,18.3,1
2022,9,13692,18.2,1
2022,9,12842,18.1,1
2022,9,14137,17.7,1
2022,9,15345,17.7,1
2022,9,15319,17.7,1
2022,9,10775,17.5,1
2022,9,12750,17.3,1
2022,9,15258,17.2,1
2022,9,12287,17.0,1
2022,9,14218,17.0,1
2022,9,9853,17.0,1
2022,9,12711,17.0,1
2022,9,12589,17.0,1
2022,9,14215,16.9,1
2022,9,14224,16.8,1
2022,9,13633,16.7,1
2022,9,12187,16.4,1
2022,9,14079,16.1,1
2022,9,15802,16.1,1
2022,9,14225,16.0,1
2022,9,15349,16.0,1
2022,9,15753,15.8,1
2022,9,13298,15.5,1
2022,9,14056,15.5,1
2022,9,14867,15.5,1
2022,9,15239,15.5,1
2022,9,13839,15.5,1
2022,9,14113,15.3,1
2022,9,13223,15.3,1
2022,9,15409,15.1,1
2022,9,13704,15.0,1
2022,9,15880,15.0,1
2022,9,13737,14.9,1
2022,9,11757,14.6,1
2022,9,12301,14.6,1
