season,week,id,score,isAvailable
2020,7,5848,75.5,1
2020,7,14779,73.2,1
2020,7,13590,59.2,1
2020,7,14056,58.0,1
2020,7,14777,58.0,1
2020,7,7836,57.6,1
2020,7,13113,50.8,1
2020,7,9431,50.5,1
2020,7,4925,46.8,1
2020,7,11640,46.7,1
2020,7,10703,46.7,1
2020,7,9099,45.4,1
2020,7,12187,45.0,1
2020,7,12610,43.3,1
2020,7,11675,42.7,1
2020,7,13589,40.9,1
2020,7,13251,37.0,1
2020,7,14104,32.1,1
2020,7,13879,31.0,1
2020,7,9853,29.6,1
2020,7,10697,29.5,1
2020,7,14017,29.5,1
2020,7,11644,29.0,1
2020,7,11956,28.5,1
2020,7,13726,27.5,1
2020,7,14813,25.9,1
2020,7,13304,25.5,1
2020,7,11760,25.3,1
2020,7,13635,24.6,1
2020,7,13116,24.5,1
2020,7,12611,23.9,1
2020,7,14059,22.9,1
2020,7,12650,22.9,1
2020,7,13132,22.6,1
2020,7,14840,22.5,1
2020,7,14280,22.3,1
2020,7,11313,22.3,1
2020,7,11318,22.2,1
2020,7,14168,22.1,1
2020,7,14067,21.5,1
2020,7,13277,21.3,1
2020,7,12656,21.0,1
2020,7,13163,20.6,1
2020,7,11222,20.5,1
2020,7,12181,20.4,1
2020,7,14852,20.1,1
2020,7,14930,20.0,1
2020,7,14337,19.8,1
2020,7,13198,19.4,1
2020,7,12948,19.2,1
2020,7,9846,18.9,1
2020,7,13229,18.7,1
2020,7,14260,18.6,1
2020,7,14171,18.5,1
2020,7,10973,18.4,1
2020,7,14875,18.2,1
2020,7,11283,18.1,1
2020,7,14148,18.0,1
2020,7,13998,17.7,1
2020,7,13245,17.7,1
2020,7,14208,17.5,1
2020,7,13139,17.3,1
2020,7,13790,17.2,1
2020,7,12774,17.1,1
2020,7,14835,17.1,1
2020,7,13707,17.0,1
2020,7,10271,16.9,1
2020,7,12736,16.8,1
2020,7,9826,16.7,1
2020,7,13214,16.4,1
2020,7,11193,16.2,1
2020,7,10260,16.0,1
2020,7,11706,16.0,1
2020,7,15016,15.9,1
2020,7,13814,15.9,1
2020,7,13138,15.9,1
2020,7,14182,15.5,1
2020,7,11647,15.5,1
2020,7,14109,15.5,1
2020,7,14983,15.4,1
2020,7,12308,15.4,1
2020,7,13629,15.3,1
2020,7,14857,15.2,1
2020,7,11769,15.1,1
2020,7,12175,15.0,1
2020,7,13715,15.0,1
2020,7,12734,14.8,1
2020,7,13743,14.5,1
2020,7,10308,14.5,1
2020,7,10738,14.5,1
2020,7,11721,14.3,1
2020,7,12716,14.3,1
2020,7,14138,14.3,1
2020,7,11403,14.1,1
2020,7,11232,14.1,1
