season,week,id,score,isAvailable
2025,1,7836.0,42.9,1
2025,1,8851.0,10.0,1
2025,1,8930.0,7.0,1
2025,1,9051.0,10.5,1
2025,1,9064.0,15.3,1
2025,1,9431.0,27.8,1
2025,1,9596.0,2.9,1
2025,1,9694.0,9.6,1
2025,1,10266.0,12.5,1
2025,1,10267.0,2.2,1
2025,1,10292.0,16.2,1
2025,1,10514.0,1.5,1
2025,1,10703.0,11.7,1
2025,1,10768.0,8.0,1
2025,1,10775.0,6.5,1
2025,1,10814.0,1.6,1
2025,1,10816.0,11.1,1
2025,1,10945.0,10.3,1
2025,1,11150.0,44.6,1
2025,1,11222.0,14.1,1
2025,1,11232.0,10.5,1
2025,1,11244.0,11.4,1
2025,1,11247.0,5.7,1
2025,1,11286.0,0.0,1
2025,1,11348.0,5.0,1
2025,1,11367.0,6.4,1
2025,1,11383.0,3.4,1
2025,1,11671.0,6.7,1
2025,1,11674.0,3.7,1
2025,1,11675.0,6.2,1
2025,1,11721.0,3.0,1
2025,1,11723.0,5.0,1
2025,1,11769.0,13.0,1
2025,1,11793.0,4.5,1
2025,1,11872.0,0.5,1
2025,1,11936.0,21.6,1
2025,1,11938.0,2.0,1
2025,1,11945.0,-1.3,1
2025,1,11947.0,5.3,1
2025,1,11970.0,9.0,1
2025,1,11985.0,7.1,1
2025,1,12186.0,9.9,1
2025,1,12187.0,-1.0,1
2025,1,12217.0,1.0,1
2025,1,12218.0,2.5,1
2025,1,12219.0,0.0,1
2025,1,12221.0,9.0,1
2025,1,12225.0,13.5,1
2025,1,12231.0,1.0,1
2025,1,12234.0,3.0,1
2025,1,12238.0,0.0,1
2025,1,12271.0,4.5,1
2025,1,12305.0,5.5,1
2025,1,12323.0,5.8,1
2025,1,12349.0,2.5,1
2025,1,12361.0,0.5,1
2025,1,12394.0,0.0,1
2025,1,12437.0,8.9,1
2025,1,12608.0,0.0,1
2025,1,12611.0,12.3,1
2025,1,12620.0,19.7,1
2025,1,12626.0,31.9,1
2025,1,12658.0,4.8,1
2025,1,12676.0,8.7,1
2025,1,12677.0,0.0,1
2025,1,12678.0,-2.0,1
2025,1,12686.0,10.0,1
2025,1,12688.0,4.5,1
2025,1,12691.0,1.0,1
2025,1,12697.0,14.0,1
2025,1,12698.0,11.5,1
2025,1,12699.0,0.0,1
2025,1,12700.0,3.0,1
2025,1,12711.0,11.0,1
2025,1,12734.0,0.0,1
2025,1,12735.0,6.0,1
2025,1,12739.0,9.5,1
2025,1,12741.0,3.0,1
2025,1,12742.0,5.3,1
2025,1,12744.0,4.0,1
2025,1,12745.0,0.5,1
2025,1,12752.0,5.0,1
2025,1,12754.0,0.0,1
2025,1,12758.0,0.0,1
2025,1,12764.0,15.9,1
2025,1,12772.0,14.0,1
2025,1,12773.0,6.8,1
2025,1,12776.0,1.0,1
2025,1,12782.0,0.0,1
2025,1,12795.0,2.0,1
2025,1,12801.0,5.5,1
2025,1,12802.0,0.0,1
2025,1,12831.0,1.0,1
2025,1,12842.0,7.8,1
2025,1,12860.0,21.6,1
2025,1,12955.0,0.0,1
2025,1,12956.0,5.0,1
2025,1,12978.0,0.0,1
2025,1,12988.0,-2.0,1
2025,1,13066.0,1.7,1
2025,1,13116.0,50.2,1
2025,1,13130.0,16.9,1
2025,1,13132.0,10.9,1
2025,1,13133.0,1.7,1
2025,1,13138.0,2.2,1
2025,1,13143.0,4.0,1
2025,1,13146.0,6.3,1
2025,1,13148.0,-1.3,1
2025,1,13156.0,9.0,1
2025,1,13164.0,1.0,1
2025,1,13168.0,1.6,1
2025,1,13172.0,2.9,1
2025,1,13176.0,0.3,1
2025,1,13189.0,2.2,1
2025,1,13192.0,3.4,1
2025,1,13193.0,4.5,1
2025,1,13198.0,21.2,1
2025,1,13199.0,12.5,1
2025,1,13201.0,1.0,1
2025,1,13208.0,5.5,1
2025,1,13211.0,0.0,1
2025,1,13214.0,15.0,1
2025,1,13216.0,0.0,1
2025,1,13223.0,4.0,1
2025,1,13224.0,8.2,1
2025,1,13226.0,11.0,1
2025,1,13227.0,28.0,1
2025,1,13228.0,6.5,1
2025,1,13230.0,4.0,1
2025,1,13245.0,7.3,1
2025,1,13246.0,2.0,1
2025,1,13251.0,13.5,1
2025,1,13260.0,0.0,1
2025,1,13262.0,7.7,1
2025,1,13263.0,6.0,1
2025,1,13266.0,5.0,1
2025,1,13267.0,7.9,1
2025,1,13268.0,2.5,1
2025,1,13281.0,5.0,1
2025,1,13284.0,10.9,1
2025,1,13288.0,0.0,1
2025,1,13289.0,-0.4,1
2025,1,13294.0,7.7,1
2025,1,13296.0,7.8,1
2025,1,13298.0,4.0,1
2025,1,13299.0,8.5,1
2025,1,13301.0,0.0,1
2025,1,13303.0,11.1,1
2025,1,13307.0,4.5,1
2025,1,13308.0,0.0,1
2025,1,13315.0,0.5,1
2025,1,13317.0,5.5,1
2025,1,13319.0,13.4,1
2025,1,13322.0,9.0,1
2025,1,13325.0,13.4,1
2025,1,13330.0,1.0,1
2025,1,13332.0,3.5,1
2025,1,13348.0,0.0,1
2025,1,13354.0,11.5,1
2025,1,13365.0,0.0,1
2025,1,13377.0,0.0,1
2025,1,13403.0,1.2,1
2025,1,13404.0,7.4,1
2025,1,13427.0,0.0,1
2025,1,13431.0,0.0,1
2025,1,13434.0,3.0,1
2025,1,13447.0,6.0,1
2025,1,13448.0,4.5,1
2025,1,13470.0,14.5,1
2025,1,13589.0,73.3,1
2025,1,13590.0,31.1,1
2025,1,13592.0,12.5,1
2025,1,13593.0,54.3,1
2025,1,13604.0,11.8,1
2025,1,13610.0,6.5,1
2025,1,13629.0,-0.1,1
2025,1,13630.0,13.2,1
2025,1,13635.0,4.7,1
2025,1,13641.0,8.2,1
2025,1,13671.0,0.5,1
2025,1,13672.0,0.8,1
2025,1,13674.0,6.3,1
2025,1,13675.0,4.4,1
2025,1,13676.0,0.0,1
2025,1,13678.0,0.0,1
2025,1,13681.0,6.5,1
2025,1,13682.0,2.0,1
2025,1,13683.0,7.7,1
2025,1,13687.0,1.0,1
2025,1,13688.0,5.0,1
2025,1,13690.0,2.0,1
2025,1,13692.0,1.0,1
2025,1,13693.0,5.0,1
2025,1,13694.0,1.5,1
2025,1,13696.0,9.0,1
2025,1,13697.0,8.0,1
2025,1,13700.0,21.6,1
2025,1,13706.0,0.5,1
2025,1,13707.0,6.0,1
2025,1,13709.0,0.0,1
2025,1,13710.0,12.0,1
2025,1,13713.0,11.5,1
2025,1,13714.0,10.0,1
2025,1,13717.0,4.5,1
2025,1,13718.0,4.2,1
2025,1,13723.0,19.8,1
2025,1,13730.0,-2.4,1
2025,1,13731.0,6.0,1
2025,1,13736.0,0.0,1
2025,1,13737.0,4.5,1
2025,1,13738.0,7.0,1
2025,1,13742.0,17.2,1
2025,1,13743.0,8.0,1
2025,1,13744.0,4.5,1
