season,week,id,score,isAvailable
2024,11,12611,94.6,1
2024,11,9431,62.0,1
2024,11,12140,62.0,1
2024,11,16582,62.0,1
2024,11,14777,52.0,1
2024,11,14779,47.5,1
2024,11,14782,46.1,1
2024,11,11644,45.3,1
2024,11,14778,45.2,1
2024,11,16152,40.8,1
2024,11,15287,38.4,1
2024,11,13589,37.4,1
2024,11,16579,36.9,1
2024,11,13604,36.6,1
2024,11,14783,33.5,1
2024,11,13592,33.4,1
2024,11,13131,32.3,1
2024,11,11936,32.0,1
2024,11,15789,31.0,1
2024,11,14067,30.0,1
2024,11,13424,29.7,1
2024,11,13707,29.0,1
2024,11,16580,28.3,1
2024,11,14835,28.1,1
2024,11,16150,27.2,1
2024,11,15345,27.0,1
2024,11,15756,26.7,1
2024,11,16211,26.6,1
2024,11,16676,26.4,1
2024,11,14833,26.4,1
2024,11,13193,26.2,1
2024,11,14899,25.6,1
2024,11,16162,24.6,1
2024,11,14249,24.6,1
2024,11,14157,24.2,1
2024,11,16149,23.8,1
2024,11,13164,23.7,1
2024,11,16641,23.6,1
2024,11,16282,23.5,1
2024,11,15109,22.9,1
2024,11,15708,22.7,1
2024,11,16627,22.6,1
2024,11,14073,22.3,1
2024,11,14071,22.0,1
2024,11,16185,21.6,1
2024,11,15981,21.2,1
2024,11,15398,21.2,1
2024,11,16694,21.1,1
2024,11,14163,21.0,1
2024,11,16187,20.8,1
2024,11,13228,20.7,1
2024,11,14244,20.7,1
2024,11,13593,20.7,1
2024,11,16295,20.5,1
2024,11,13793,20.4,1
2024,11,13201,20.1,1
2024,11,16241,20.0,1
2024,11,15698,19.7,1
2024,11,12221,19.4,1
2024,11,12437,19.1,1
2024,11,12711,19.1,1
2024,11,14896,18.5,1
2024,11,15869,18.2,1
2024,11,14860,17.9,1
2024,11,7836,17.8,1
2024,11,15378,17.6,1
2024,11,13763,17.5,1
2024,11,13737,17.5,1
2024,11,13418,17.5,1
2024,11,15861,17.4,1
