season,position,num_players,avg_mean_score,median_mean_score,avg_std_dev,median_std_dev,avg_cv,median_cv,avg_floor_score,median_floor_score,avg_value_score,median_value_score,avg_consistency_score,median_consistency_score,top_player,top_value_score
2018,CB,64,7.355703720426836,7.173333333333334,5.509351699544749,5.2201294336483794,0.7523098970797374,0.7343566960078254,3.2859375,3.1875,4.239617883819267,4.250161574170857,1.159782806540352,1.1246784322090275,"Ward, Denzel",6.068809106591684
2018,DE,48,8.055127194598702,7.382549019607843,5.858027036287457,5.491206839266481,0.7374910299967626,0.717805581332438,3.7796875,3.65,4.6950731731808615,4.458248294372769,1.1913258184150706,1.1915063315253676,"Hunter, Danielle",7.420439664586828
2018,DT,48,9.038135412551771,8.32843137254902,5.551026870627382,5.306956645571236,0.6223565235245995,0.6060204086097316,5.141666666666667,5.0,5.63342708437751,5.369755853498878,1.4012351132701115,1.3685598858203116,"Donald, Aaron",9.341899356814634
2018,LB,48,9.371794816192791,9.138235294117646,5.283449179557463,4.90023444993534,0.5633188859961118,0.5242893546728142,5.872395833333333,5.75,6.056987556625894,5.911185224658437,1.5683408050574437,1.5419364951776098,"Leonard, Shaquille",11.655347081021779
2018,PK,16,5.052431575777164,4.955882352941176,4.4944896541993025,4.590198508033606,0.9086981576814556,0.9036985181365221,1.9140625,2.7,2.7130620876226157,2.6941117373346968,0.9478398084393904,0.9390918641941645,"Myers, Jason",3.8308081373596785
2018,PN,16,4.283915441176472,4.05,3.2290400111957993,2.8641858110210396,0.7840791714780021,0.6886779349393624,2.0734375000000003,2.1,2.501152652486133,2.3111954436876667,1.0618822158630108,1.045296099626384,"Lee, Andy",4.5120876127922935
2018,QB,16,30.242025958110517,29.167647058823526,20.013494533652164,18.809356479650596,0.6767679707297239,0.6596265171910929,19.021875,20.65,18.42463151643154,17.079692923290573,1.517615220192051,1.4370443440660365,"Mahomes, Patrick",33.041937934760234
2018,RB,32,11.030181226555309,10.129999999999999,8.350381555713676,8.26522684109757,0.8115674081760587,0.7956037043425755,5.48828125,4.699999999999999,6.3992380344608115,5.485327127731809,1.207918601148084,1.124842401261047,"Gurley, Todd",13.744184176723262
2018,S,48,8.161547181372548,7.9087499999999995,5.31284123713696,4.943587845754184,0.6560592570907319,0.6276054120754886,4.653645833333333,5.0,5.005599750810341,4.985647335546213,1.3666104136534523,1.2951647923029808,"Williams, Shawn",7.2258677753272496
2018,TE,32,5.820362925728276,5.155882352941175,5.818202736450856,5.0776338865028645,1.0779840486362557,1.0376542378020517,1.7531250000000003,1.1,2.9647854567009024,2.4888461637351424,0.8384582621941453,0.8490862474924085,"Kittle, George",7.780037440685392
2018,WR,64,9.408639651810608,8.602941176470587,7.758245291983204,7.6764635429558465,0.9055203377879728,0.8702077505070114,3.8597656250000005,3.2625,5.284828920364045,4.4295309686706155,1.0979348467063643,1.004491385332018,"Hill, Tyreek",11.136718027918702
2019,CB,64,8.121976212997582,7.7101307189542485,5.971782729465975,5.656136559568445,0.7422109856787937,0.7030013330499327,3.79375,4.0,4.747478600586229,4.682150188114125,1.2255533662462095,1.1791537789178386,"White, Tre'Davious",7.483982873403081
2019,DE,48,9.497664619898076,8.900625,6.268576162328318,6.012291986564189,0.6723182121225602,0.6811655929216767,4.722916666666667,4.775,5.764672632015915,5.472621238721201,1.3328394115058864,1.2741490506465392,"Dunlap, Carlos",10.647641138745316
2019,DT,48,8.979249173348439,8.579374999999999,5.213741804863148,5.3007147363582945,0.5933970799716938,0.5574947589445116,5.378645833333333,5.5,5.716454993289332,5.749533453256172,1.4689687495948351,1.4926762337831954,"Heyward, Cameron",10.314960577198084
2019,LB,48,9.7512763672874,9.223214285714285,5.861058092721691,5.4927768644089685,0.6021646907699774,0.6076205651675151,5.853645833333334,6.0,6.12747821444484,6.080499612655716,1.4601081445749766,1.3890037228787502,"Leonard, Shaquille",9.09273652424323
2019,PK,16,4.511345996732026,4.2176470588235295,4.117527090078676,4.112348944741357,0.9353303940695209,0.8627039280822888,1.8437500000000004,1.5,2.3870811171988917,2.245853263086414,0.8949678186604051,0.9209159811700166,"Koo, Younghoe",4.105318669461653
2019,PN,16,4.3254656862745104,4.124313725490196,3.488492732064796,3.518165363114295,0.8202846989794793,0.7754094261269415,1.7609374999999998,1.7,2.415223956354548,2.2923682559646847,0.9790286146164385,0.978423075014212,"Way, Tress",3.818565823705268
2019,QB,16,31.98585760746606,30.528039215686274,20.234399031438393,20.476624707164078,0.6548499179628602,0.6456173995385275,19.254687500000003,19.3,19.808460996081465,17.82066504043877,1.5690527448668372,1.4703605896489862,"Jackson, Lamar",29.055335040640944
2019,RB,32,11.343211342374948,10.793333333333333,9.027792550102442,8.746682405953255,0.8261683420473586,0.810758022499156,4.823437500000001,4.324999999999999,6.391126230372852,5.741665399730804,1.1477719975841056,1.0858695564191085,"McCaffrey, Christian",14.119019896708295
2019,S,48,8.766540685791606,8.233088235294117,6.031372462691361,5.535783612404611,0.6972924772279937,0.6496238242431267,4.519270833333333,4.125,5.2589866587951635,4.897336608287704,1.29780321601109,1.3087038701749139,"Ryan, Logan",9.752451623064315
2019,TE,32,6.361841139865039,5.16848484848485,5.824611954696031,5.74460917931598,1.0133135871474883,1.0080242085781639,2.3132812499999993,1.35,3.4077411822708985,2.5516797358376597,0.925514300115971,0.8442522533691816,"Kittle, George",9.185118296936562
