season,player_id,player_name,position,games_played,mean_score,median_score,min_score,max_score,std_dev,coefficient_variation,floor_score,ceiling_score,std_dev_vs_position,cv_vs_position,value_score,consistency_score_std,consistency_index_vs_avg,consistency_index_vs_replacement,consistency_score_trailing_10,consistency_score_trailing_5,consistency_score_last_season,consistency_score_2seasons_ago
2018,13591,"Rosen, Josh",QB,15,-0.8133333333333334,-0.4,-29.4,23.3,15.206133265524437,-18.696065490398897,-12.4,11.3,-0.3615086252929948,-5.830432509494703,,-0.05018676077800435,-4.385368512363987,-6.188766429237583,-0.1969189822125762,-0.8254777532272752,,
2018,10334,"Ridley, Stevan",RB,11,-0.12727272727272732,0.0,-4.7,2.3,1.9372383854300097,-15.221158742664358,-0.5,1.05,-0.9685183541907384,-8.843107818947054,,-0.04333074492831629,-6.365799236662148,-12.205904570566254,-0.046183978996071996,-0.028901055017212855,,
2018,11249,"Sims, Dion",TE,8,-0.15,0.0,-1.0,0.0,0.32787192621510003,-2.185812841434,-0.05,0.0,-1.3415054336787007,-2.170698543335943,,-0.11296270147645378,-23.95979361071148,-48.84165057128001,,-0.14285714285714285,,
2018,13235,"Malone, Josh",WR,10,-0.31,0.0,-1.0,0.0,0.452658811910251,-1.4601897158395194,-0.775,0.0,-1.6537713271702583,-1.7529642939362151,,-0.2134017963876521,-31.246292653211693,-57.86401794763807,-0.2134017963876521,-0.2684747639175602,,
2018,12209,"Koyack, Ben",TE,8,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-1.489924508258925,,,0.0,0.0,0.0,,0.0,,
2018,12719,"Thompson, Darian",S,11,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-1.9250833297295837,,,0.0,0.0,0.0,0.0,0.0,,
2018,12319,"Nelson, J.J.",WR,14,-0.2642857142857143,0.0,-3.5,1.6,1.0780982878974195,-4.079290819071317,-0.375,0.07500000000000001,-1.4313126601654491,-3.346719569992702,,-0.1271767152809281,-18.621215620526012,-34.48403837317972,-0.13420934905014112,0.06538709495522063,,
2018,10903,"Matthews, Rishard",WR,8,-0.21249999999999997,0.0,-1.4,0.9,0.7671986379028576,-3.6103465313075658,-0.925,0.175,-1.5418946179174586,-3.061361195748268,,-0.12024681065404998,-17.60653893225232,-32.604990808947036,,0.07196260373784731,,
2018,13642,"Tate, Auden",WR,8,-0.1875,0.0,-3.0,1.0,1.2231491119238078,-6.523461930260308,-0.25,0.625,-1.379720437097135,-4.834027791594236,,-0.08433982182947071,-12.349037354944489,-22.86879045374086,,0.2684747639175602,,
2018,13396,"Daniels, Darrell",TE,12,0.0,0.0,-1.0,1.0,0.7071067811865476,,-0.25,0.25,-1.1698357000934545,,,0.0,0.0,0.0,-0.058823529411764705,-0.11439478302055078,,
2018,12183,"Greene, Rashad",WR,8,-0.12499999999999996,0.0,-2.3,1.1,0.9404121436902013,-7.523297149521613,-0.15,0.35,-1.480285386194655,-5.4424398356801005,,-0.06441930411870117,-9.432274999938336,-17.46733079475878,,-0.014828963672967805,,
2018,13116,"Mahomes, Patrick",QB,17,42.982352941176465,42.6,20.2,71.6,12.930913042423827,0.30084237268537717,36.3,51.7,-0.7441716720183381,-0.04826009642689638,33.041937934760234,3.0853938151994957,269.6047458665352,380.4744790951459,3.511081007337386,4.302901855182684,,
2018,9099,"Ryan, Matt",QB,17,36.35294117647059,34.4,-2.9,71.2,20.451581778235,0.5625839647734547,25.5,49.4,0.520708967946982,0.031407343349716434,23.264632170816547,1.6946508445057726,148.08025737743523,208.9753969607258,1.9427128597582581,2.816960430826619,,
