season,player_id,player_name,position,games_played,mean_score,median_score,min_score,max_score,std_dev,coefficient_variation,floor_score,ceiling_score,std_dev_vs_position,cv_vs_position,value_score,consistency_score_std,consistency_score_trailing_10,consistency_score_trailing_5,consistency_score_last_season,consistency_score_2seasons_ago
2019,13299,"Kittle, George",TE,15,13.593333333333334,15.6,-0.4,27.8,6.52385026056103,0.47993013196868783,10.0,16.65,1.447858045247275,0.10101525445522096,9.185118296936562,1.806699078607091,1.71501040721536,7.0845703943777965,1.1857703974687315,
2019,11244,"Kelce, Travis",TE,17,11.6,11.6,1.6,22.9,5.95324923639085,0.5132111410681767,8.0,15.1,1.1837239422648722,0.10101525445522096,7.665817205001248,1.6682847983198559,1.533034748698933,1.0678511780267332,1.267864879381977,
2019,12263,"Waller, Darren",TE,17,11.411764705882353,9.9,-0.5,30.5,7.440499852985936,0.652002564436912,5.9,15.2,1.8721797824829345,0.10101525445522097,6.907837161725033,1.3520247502694158,1.7835107397524819,2.0415103218637283,,
2019,9474,"Cook, Jared",TE,15,10.693333333333333,10.7,-0.3,22.8,6.749663366091347,0.6312029332379689,8.9,12.8,1.5523880750656793,0.10101525445522097,6.555489274474796,1.3798448820528146,2.4175305675784906,2.521802320925617,0.8578066106784231,
2019,13671,"Andrews, Mark",TE,15,10.113333333333333,10.2,-2.2,23.1,8.055877081705974,0.7965600278549084,3.7,16.2,2.1570410172487637,0.10101525445522097,5.629276604472074,1.1167701639594418,1.2709742981829832,1.2918362177477358,0.9281149836637697,
2019,12677,"Hooper, Austin",TE,14,10.021428571428574,9.5,-0.2,24.9,7.392291213673545,0.7376484461256565,4.3,13.8,1.8498637592698692,0.10101525445522097,5.767235941063238,1.1941230727433145,1.0670305924332497,0.876850409232537,1.2203959494412215,
2019,12676,"Henry, Hunter",TE,13,9.623076923076923,9.7,0.0,24.5,6.179264811404951,0.6421298365169015,5.9,11.6,1.2883476962324023,0.10101525445522097,5.860119406567934,1.3403986586188799,1.3972894089982004,1.4424915910357523,,
2019,11247,"Ertz, Zach",TE,15,8.44,8.6,-0.7,20.1,6.3931004476179885,0.7574763563528423,2.6,12.5,1.3873332948631483,0.10101525445522097,4.802340566057397,1.141604940958068,0.9711744294547218,1.1455492683242545,1.0191224814866586,
2019,13189,"Engram, Evan",TE,8,8.137500000000001,5.8,-3.3,22.6,8.450138682293918,1.0384195001282848,4.05,10.8,2.3395467082666683,0.101015254455221,3.992063458717835,0.8610984741680755,1.0593834237452444,0.6681603825528053,1.253571235096373,
2019,12678,"Higbee, Tyler",TE,16,8.087499999999999,4.75,0.0,22.2,6.95681994520485,0.8601941199635056,2.15,14.275,1.6482819043496744,0.10101525445522098,4.347664533075002,1.0164236536323663,1.1806877173808614,7.006235154356326,0.7438838491881373,
2019,13424,"Hill, Taysom",TE,17,6.241176470588235,5.2,-2.7,15.9,5.4763726534492125,0.8774583893368201,1.8,11.4,0.9629753576443238,0.10101525445522098,3.3242688658430533,0.9636839639337746,1.0964134062114927,1.8499235279329007,0.42354738870412884,
2019,13674,"Goedert, Dallas",TE,16,5.75,5.65,-1.6,16.2,4.406245567373657,0.766303576934549,3.55,7.625,0.46760811155708665,0.10101525445522097,3.2553860361757443,1.0635846870702432,1.2471685035367934,1.4988520987031524,0.6493642088432425,
2019,14142,"Smith, Kaden",TE,10,5.72,5.300000000000001,-2.2,13.9,5.9131717377394,1.0337712828215735,0.0,10.725000000000001,1.1651718652308818,0.101015254455221,2.8125089818675675,0.8274060325702879,0.8274060325702879,1.210774641502826,,
2019,13193,"Smith, Jonnu",TE,17,5.676470588235295,2.3,0.0,22.4,6.855957427605203,1.2077852463138696,0.9,10.2,1.6015921342962933,0.10101525445522103,2.5711153735232,0.722568909078941,0.7605516902554343,1.0106845230531116,0.5299891232882296,
2019,11399,"Griffin, Ryan",TE,13,5.576923076923077,1.5,-0.9,24.6,8.279925106141578,1.4846762259288346,0.4,5.8,2.2607539820920017,0.10101525445522105,2.2445270811243354,0.6009663885360664,0.7215563754453719,0.6241218602395487,0.3795883511741058,
2019,8687,"Olsen, Greg",TE,15,5.173333333333335,3.2,-2.6,20.5,7.084581066576124,1.3694422164773432,-0.40000000000000013,7.949999999999999,1.7074231742737935,0.10101525445522104,2.1833549252045255,0.6399012256456075,0.7099466463862797,0.28618324473726814,1.0136597295992835,
2019,11695,"Ebron, Eric",TE,11,5.163636363636364,3.7,-1.9,16.0,4.7173322058655005,0.9135678567697272,2.85,7.2,0.6116116915144678,0.10101525445522098,2.698433894240386,0.9031548592434263,1.0317476400098722,1.6182810732677584,0.9421762410965477,
2019,13672,"Gesicki, Mike",TE,17,4.723529411764706,3.9,-3.3,17.0,6.237225006246505,1.320458594099509,0.3,6.3,1.3151777638710354,0.10101525445522104,2.0356016796747656,0.652671349541819,0.7778029960110255,0.8096257633697954,0.32718673136839704,
2019,6997,"Witten, Jason",TE,17,4.641176470588236,4.8,-2.5,10.2,3.295640404343363,0.710087286106935,3.3,7.4,-0.04649664128881989,0.10101525445522097,2.713999752114416,1.080438778324065,0.7672231383917805,1.096838251042797,,
2019,10312,"Rudolph, Kyle",TE,17,4.5470588235294125,1.9,-1.0,15.7,5.210523022980551,1.1459106260112464,0.2,8.9,0.8399122177311712,0.10101525445522101,2.1189413801362957,0.732153927568437,0.8652390533839318,0.4779158013677134,0.7375245983900711,
