season,position,num_players,avg_mean_score,median_mean_score,avg_std_dev,median_std_dev,avg_cv,median_cv,avg_floor_score,median_floor_score,avg_value_score,median_value_score,avg_consistency_score,median_consistency_score,top_player,top_value_score
2023,CB,64,8.576374195402229,8.025,6.839255103910866,6.356249310865226,0.8052948164200683,0.7850154089446855,3.8453125000000004,4.0,4.821634273002304,4.618700769658014,1.1289359478018497,1.1137904750900756,"Douglas, Rasul",7.9992129351120145
2023,DE,48,10.2250988283571,9.646274509803924,6.797856614847525,6.645964836458683,0.6737675248289916,0.663984232716765,5.283333333333334,5.0,6.1926907839537115,6.066681564983227,1.3487014183798427,1.3122965722484121,"Mack, Khalil",10.09941767424192
2023,DT,48,9.412108798064681,9.355330882352941,5.5030680228541025,5.415213605674072,0.5909813053634805,0.6038654405290101,5.515625,5.375,5.9716891615949015,5.887872042277133,1.4755027997126762,1.4076952577276671,"Brown, Derrick",9.895647681976683
2023,LB,48,9.731511290486475,9.288392857142856,5.169970192903738,5.044290804008807,0.5371475924433898,0.5194962872947901,6.002083333333334,5.8,6.398889445311319,6.130684700335589,1.6240820496389874,1.6347563787374537,"Oluokun, Foyesade",8.761053575784198
2023,PK,16,7.760554534313725,7.747058823529412,7.453276621703474,7.553323802393722,0.979508040542529,0.9142124522916603,3.125,3.1,4.005207439204803,4.180952142687419,0.9387608294036243,0.9459432655265498,"Aubrey, Brandon",5.61618118142633
2023,PN,16,6.8661948529411765,6.373529411764705,4.65135567638155,4.185808930124072,0.6904705286239526,0.6638911987641568,3.921875,3.675,4.14232042071812,3.950766331297301,1.2587159552372766,1.202261145603583,"Stonehouse, Ryan",6.683065831978166
2023,QB,16,30.872753700037716,30.29705882352941,20.35579536183558,20.78221113812504,0.6668130148060631,0.6709874110530912,17.53125,17.15,18.68798813543036,18.799432721464797,1.4702914467071593,1.431209859070785,"Purdy, Brock",25.519688429038567
2023,RB,32,11.51913197250054,10.980294117647059,8.983991485720296,8.872693084266505,0.8026795142085218,0.813077638423759,4.847656250000001,3.9875,6.538135731252772,6.144852885841758,1.1751439574696418,1.1124421830482438,"McCaffrey, Christian",14.203808094128078
2023,S,48,9.093237413458004,9.138235294117646,6.344794592659654,6.2396397531427175,0.7045038254821708,0.6940297494076416,4.55,4.7,5.40458763390851,5.393064212653023,1.2774308393825442,1.2408870137813026,"Winfield, Antoine",9.108671645372713
2023,TE,32,6.228021750767617,5.219004524886877,5.892453476191815,5.934099137428433,0.9925548367572486,0.9833722943581387,1.9453124999999998,1.6875,3.241922710478719,2.7491991408219487,0.8994170071627726,0.8778837050602977,"Kittle, George",6.957403953797543
2023,WR,64,10.224148861249045,9.48143382352941,8.397113696498975,8.093828067164976,0.859470169272386,0.837312613489096,4.290234375000001,3.7,5.70297548374984,4.967901097547371,1.1069390086295054,1.0264515161134424,"Hill, Tyreek",13.25260949445324
