season,week,franchise_id,player_id,contractInfo,salary,status,contractYear
2019,21,0003,11706,2018 FRFA,3.41,ROSTER,4
2019,21,0003,13188,2017 1.09,3.51,ROSTER,2
2019,21,0003,11283,2019 B/R,2.0,ROSTER,2
2019,21,0003,5848,2019 SRFA,13.6,ROSTER,1
2019,21,0003,9051,2019 UFA,13.0,ROSTER,2
2019,21,0003,10789,2019 UFA,1.2,ROSTER,2
2019,21,0003,11985,2019 UFA,0.9,ROSTER,2
2019,21,0003,10775,2019 UFA,17.0,ROSTER,2
2019,21,0003,14080,2019 2.15,1.31,ROSTER,4
2019,21,0003,14168,2019 1.11,2.59,ROSTER,4
2019,21,0003,14207,2019 3.12,1.01,ROSTER,4
2019,21,0003,14198,2019 4.12,0.78,ROSTER,4
2019,21,0003,14244,2019 UDFA,0.5,ROSTER,3
2019,21,0003,14256,2019 6.16,0.56,ROSTER,4
2019,21,0003,13789,2018 6.10,0.66,ROSTER,3
2019,21,0003,13260,2017 4.09,0.85,ROSTER,2
2019,21,0003,10697,2019 UFA,1.2,ROSTER,2
2019,21,0003,11222,Inaugural,17.97,ROSTER,1
2019,21,0003,13850,2018 UFA,1.32,ROSTER,1
2019,21,0003,12447,2019 UFA,0.9,ROSTER,2
2019,21,0003,9815,2019 B/R,5.0,ROSTER,2
2019,21,0003,10308,2019 UFA,1.9,ROSTER,1
2019,21,0003,13466,2019 UFA,0.6,ROSTER,2
2019,21,0003,12745,2017 SRFA,9.56,ROSTER,1
2019,21,0003,12712,2018 UFA,0.66,ROSTER,1
2019,21,0003,13418,2019 UFA,0.6,ROSTER,1
2019,21,0003,14243,2019 UFA,0.6,ROSTER,3
2019,21,0003,12126,2019 UFA,0.6,ROSTER,2
2019,21,0003,12088,2019 UFA,0.6,ROSTER,2
2019,21,0003,12197,2019 UFA,1.2,ROSTER,2
2019,21,0003,12589,2019 UFA,0.6,ROSTER,2
2019,21,0003,13301,2019 UFA,1.2,ROSTER,2
2019,21,0003,13814,2019 UFA,0.6,ROSTER,2
2019,21,0003,14181,2019 UFA,0.6,ROSTER,3
2019,21,0003,14199,2019 UFA,1.2,ROSTER,3
2019,21,0003,8673,2019 UFA,1.2,ROSTER,2
2019,21,0003,14097,2019 UFA,0.6,ROSTER,3
2019,21,0003,14103,2019 UFA,0.6,ROSTER,3
2019,21,0003,14182,2019 UFA,0.6,ROSTER,3
2019,21,0003,13424,2019 UFA,0.6,ROSTER,2
2019,21,0003,9988,2019 EXT,20.9,ROSTER,3
2019,21,0003,14184,2019 3.01,1.25,INJURED_RESERVE,4
2019,21,0003,13763,2018 UFA,0.66,INJURED_RESERVE,2
2019,21,0003,9966,2019 UFA,2.1,INJURED_RESERVE,2
2019,21,0003,13683,2018 6.15,0.66,INJURED_RESERVE,3
2019,21,0003,13640,2018 4.04,0.99,TAXI_SQUAD,3
2019,21,0004,13132,2018 EXT,3.71,ROSTER,3
2019,21,0004,11348,Inaugural,1.46,ROSTER,1
2019,21,0004,12611,2019 EXT,4.09,ROSTER,5
2019,21,0004,13591,2018 1.03,5.83,ROSTER,3
2019,21,0004,13782,2018 UDFA,0.55,ROSTER,2
2019,21,0004,12767,2018 UFA,1.32,ROSTER,2
2019,21,0004,13306,2018 UFA,1.65,ROSTER,1
2019,21,0004,10976,2018 UFA,3.3,ROSTER,2
2019,21,0004,12650,2018 UFA,0.66,ROSTER,1
2019,21,0004,12257,2018 UFA,0.66,ROSTER,1
2019,21,0004,10261,2018 B/R,20.02,ROSTER,1
2019,21,0004,11250,2018 UFA,2.75,ROSTER,2
2019,21,0004,12276,Inaugural,3.86,ROSTER,1
2019,21,0004,9829,Inaugural,5.46,ROSTER,2
2019,21,0004,9904,2019 TT,7.55,ROSTER,1
2019,21,0004,11680,2019 B/R,12.0,ROSTER,3
2019,21,0004,11670,2019 EXT,7.16,ROSTER,4
2019,21,0004,11764,2019 SRFA,2.5,ROSTER,2
2019,21,0004,8658,2019 ORFAN,3.0,ROSTER,1
2019,21,0004,14210,2019 4.13,0.77,ROSTER,4
2019,21,0004,12280,2019 FRFA,6.7,ROSTER,3
2019,21,0004,7391,2019 UFA,4.1,ROSTER,1
2019,21,0004,11186,2019 UFA,2.8,ROSTER,1
2019,21,0004,12658,2016 1.05,4.93,ROSTER,1
