season,week,franchise_id,player_id,salary,contractInfo,status,contractYear
2022,22,0001,14109,8.68,2022 iEXT,ROSTER,3
2022,22,0001,14892,1.13,2020 3.06,ROSTER,2
2022,22,0001,13684,6.69,2021 EXT,ROSTER,2
2022,22,0001,15366,1.06,2021 3.12,ROSTER,3
2022,22,0001,12245,1.43,2021 UFA,ROSTER,3
2022,22,0001,13208,7.21,2022 oEXT,ROSTER,3
2022,22,0001,13680,0.9,2022 R/F,ROSTER,2
2022,22,0001,13128,20.98,2021 EXT,ROSTER,2
2022,22,0001,11985,0.99,2022 ERFA,ROSTER,1
2022,22,0001,10272,5.56,2022 FRFA,ROSTER,3
2022,22,0001,12447,0.99,2022 ERFA,ROSTER,1
2022,22,0001,13774,1.3,2022 UFA,ROSTER,1
2022,22,0001,15833,0.85,2022 5.06,ROSTER,4
2022,22,0001,10277,0.9,2022 UFA,ROSTER,1
2022,22,0001,14412,0.9,2022 UFA,ROSTER,1
2022,22,0001,10697,5.0,2022 B/R,ROSTER,2
2022,22,0001,12744,0.9,2022 UFA,ROSTER,1
2022,22,0001,13707,0.9,2022 UFA,ROSTER,1
2022,22,0001,13156,5.85,2018 FRFA,ROSTER,1
2022,22,0001,12476,0.9,2022 UFA,ROSTER,1
2022,22,0001,12734,3.74,2021 SRFA,ROSTER,1
2022,22,0001,11222,16.5,2021 UFA,ROSTER,1
2022,22,0001,14889,1.94,2020 2.01,ROSTER,2
2022,22,0001,14303,0.9,2022 UFA,ROSTER,1
2022,22,0001,15183,0.9,2022 UFA,ROSTER,1
2022,22,0001,9904,0.9,2022 UFA,ROSTER,1
2022,22,0001,13339,0.9,2022 UFA,ROSTER,1
2022,22,0001,14821,1.3,2022 UFA,ROSTER,1
2022,22,0001,13113,11.08,2019 EXT,ROSTER,3
2022,22,0001,9815,0.9,2022 UFA,ROSTER,1
2022,22,0001,12754,0.9,2022 UFA,ROSTER,1
2022,22,0001,10753,1.3,2022 UFA,ROSTER,1
2022,22,0001,16080,0.9,2022 UFA,ROSTER,1
2022,22,0001,14815,0.9,2022 UFA,ROSTER,1
2022,22,0001,11768,0.9,2022 UFA,ROSTER,1
2022,22,0001,12616,0.9,2022 R/F,ROSTER,1
2022,22,0001,13246,0.9,2022 UFA,ROSTER,1
2022,22,0001,14244,0.9,2022 UFA,ROSTER,1
2022,22,0001,11382,1.3,2022 UFA,ROSTER,1
2022,22,0001,13263,1.3,2022 UFA,ROSTER,1
2022,22,0001,13998,1.3,2022 UFA,ROSTER,1
2022,22,0001,9099,0.9,2022 UFA,ROSTER,1
2022,22,0001,15708,8.76,2022 1.01,INJURED_RESERVE,4
2022,22,0001,13733,15.49,2021 EXT,INJURED_RESERVE,3
2022,22,0001,11247,10.0,2022 UFA,INJURED_RESERVE,1
2022,22,0001,11678,14.0,2022 SRFA,INJURED_RESERVE,2
2022,22,0001,13229,0.9,2022 R/F,INJURED_RESERVE,2
2022,22,0001,14837,1.06,2020 3.13,INJURED_RESERVE,2
2022,22,0001,14224,0.9,2022 R/F,INJURED_RESERVE,2
2022,22,0002,13713,5.85,2021 EXT,ROSTER,2
2022,22,0002,14073,8.12,2019 1.02,ROSTER,1
2022,22,0002,14779,2.27,2020 1.14,ROSTER,2
2022,22,0002,14197,2.54,2019 3.08^,ROSTER,1
2022,22,0002,14153,4.8,2022 iEXT,ROSTER,3
2022,22,0002,14857,0.97,2020 4.11,ROSTER,2
2022,22,0002,14168,6.32,2022 iEXT,ROSTER,3
2022,22,0002,15356,0.9,2021 4.15,ROSTER,3
2022,22,0002,13839,3.47,2021 EXT,ROSTER,2
2022,22,0002,15252,7.28,2021 EXT,ROSTER,2
2022,22,0002,14799,2.99,2020 1.10,ROSTER,2
2022,22,0002,15297,1.24,2021 2.16,ROSTER,3
2022,22,0002,12301,1.69,2020 UFA,ROSTER,1
2022,22,0002,12278,0.97,2022 ERFA,ROSTER,1
2022,22,0002,15758,1.23,2022 3.01,ROSTER,4
2022,22,0002,15794,1.13,2022 3.06,ROSTER,4
2022,22,0002,15853,0.88,2022 4.12,ROSTER,4
2022,22,0002,15762,2.43,2022 1.13,ROSTER,4
2022,22,0002,13404,27.9,2022 UFA,ROSTER,1
2022,22,0002,14249,2.5,2022 UFA,ROSTER,2
2022,22,0002,13424,1.3,2022 UFA,ROSTER,1
2022,22,0002,9694,1.3,2022 UFA,ROSTER,1
2022,22,0002,11671,23.5,2022 UFA,ROSTER,1
2022,22,0002,13232,1.0,2022 UFA,ROSTER,1
2022,22,0002,10814,1.3,2022 UFA,ROSTER,1
2022,22,0002,14897,1.42,2020 2.10,ROSTER,2
2022,22,0002,10762,1.3,2022 UFA,ROSTER,1
2022,22,0002,9825,0.9,2022 UFA,ROSTER,1
2022,22,0002,14414,1.4,2022 UFA,ROSTER,1
2022,22,0002,15950,1.4,2022 UFA,ROSTER,1
2022,22,0002,15261,0.95,2021 4.04,ROSTER,3
2022,22,0002,12745,3.0,2022 UFA,ROSTER,1
2022,22,0002,14122,1.4,2022 UFA,ROSTER,1
2022,22,0002,13256,3.0,2022 UFA,ROSTER,1
2022,22,0002,15807,0.98,2022 3.18,ROSTER,4
2022,22,0002,15756,4.32,2022 1.06,ROSTER,4
2022,22,0002,15818,0.84,2022 5.10,ROSTER,4
2022,22,0002,14123,17.6,2022 UFA,ROSTER,1
2022,22,0002,13674,3.37,2020 EXT,ROSTER,3
2022,22,0002,14113,2.7,2019 1.16,INJURED_RESERVE,1
2022,22,0002,15757,0.97,2022 3.19,INJURED_RESERVE,4
2022,22,0002,14802,8.76,2020 1.01,INJURED_RESERVE,2
2022,22,0003,13307,3.99,2020 SRFA,ROSTER,1
2022,22,0003,14798,1.3,2020 2.14,ROSTER,2
2022,22,0003,15241,2.2,2021 1.14,ROSTER,3
2022,22,0003,14832,4.37,2020 1.06,ROSTER,2
2022,22,0003,14896,1.85,2020 2.02,ROSTER,2
2022,22,0003,14137,2.54,2019 2.02^,ROSTER,1
2022,22,0003,12678,5.17,2021 UFA,ROSTER,1
2022,22,0003,12741,6.6,2021 UFA,ROSTER,2
2022,22,0003,12625,10.78,2019 EXT,ROSTER,2
2022,22,0003,15751,5.5,2022 1.04,ROSTER,4
2022,22,0003,15809,1.68,2022 2.05,ROSTER,4
2022,22,0003,15819,1.34,2022 2.13,ROSTER,4
2022,22,0003,10768,3.0,2022 UFA,ROSTER,1
2022,22,0003,12620,22.94,2021 EXT,ROSTER,5
2022,22,0003,13737,3.3,2022 UFA,ROSTER,3
2022,22,0003,10816,2.4,2022 UFA,ROSTER,1
2022,22,0003,15746,0.91,2022 4.07,ROSTER,4
2022,22,0003,15811,0.88,2022 4.13,ROSTER,4
2022,22,0003,14923,0.99,2020 4.05,ROSTER,2
2022,22,0003,15836,0.95,2022 4.01,ROSTER,4
2022,22,0003,12698,0.9,2022 R/F,ROSTER,2
2022,22,0003,13168,0.9,2022 UFA,ROSTER,1
