season,week,franchise_id,player_id,salary,contractInfo,contractYear,status
2020,21,0001,13113,9.15,2019 EXT,5,ROSTER
2020,21,0001,13128,6.66,2017 1.03,1,ROSTER
2020,21,0001,13646,1.94,2018 2.09,2,ROSTER
2020,21,0001,14109,0.97,2019 4.04,3,ROSTER
2020,21,0001,13354,0.66,2019 UFA,1,ROSTER
2020,21,0001,13631,1.81,2018 2.13,2,ROSTER
2020,21,0001,13672,1.81,2018 2.12,2,ROSTER
2020,21,0001,13265,2.42,2019 EXT,2,ROSTER
2020,21,0001,13733,1.69,2018 2.14,2,ROSTER
2020,21,0001,13216,3.89,2020 EXT,3,ROSTER
2020,21,0001,13343,0.8,2020 R/F,2,ROSTER
2020,21,0001,12386,0.66,2019 R/F,1,ROSTER
2020,21,0001,11316,1.4,2020 UFA,1,ROSTER
2020,21,0001,10350,3.8,2020 UFA,2,ROSTER
2020,21,0001,9833,16.1,2020 UFA,1,ROSTER
2020,21,0001,14780,0.76,2020 5.11,4,ROSTER
2020,21,0001,14850,0.75,2020 5.16,3,ROSTER
2020,21,0001,14922,0.79,2020 4.12,4,ROSTER
2020,21,0001,14879,0.83,2020 4.03,4,ROSTER
2020,21,0001,14892,0.94,2020 3.06,4,ROSTER
2020,21,0001,14845,0.69,2020 UDFA,3,ROSTER
2020,21,0001,14801,0.78,2020 5.02,3,ROSTER
2020,21,0001,10699,0.73,2020 ERFA,1,ROSTER
2020,21,0001,13288,1.3,2020 UFA,2,ROSTER
2020,21,0001,12152,4.2,2020 SRFA,2,ROSTER
2020,21,0001,12697,2.1,2020 UFA,2,ROSTER
2020,21,0001,10973,1.3,2020 UFA,2,ROSTER
2020,21,0001,13684,0.85,2018 5.10,2,ROSTER
2020,21,0001,14906,0.75,2020 6.01,4,ROSTER
2020,21,0001,15051,0.8,2020 UFA,2,ROSTER
2020,21,0001,11222,26.0,2020 UFA,1,ROSTER
2020,21,0001,9902,9.9,2020 UFA,1,ROSTER
2020,21,0001,14162,1.3,2019 3.04,3,ROSTER
2020,21,0001,12171,9.5,2020 B/R,2,ROSTER
2020,21,0001,13774,0.8,2020 UFA,2,ROSTER
2020,21,0001,14272,0.8,2020 UFA,2,ROSTER
2020,21,0001,11725,0.8,2020 UFA,2,ROSTER
2020,21,0001,14212,1.3,2020 UFA,2,ROSTER
2020,21,0001,14253,0.8,2020 UFA,2,ROSTER
2020,21,0001,14865,0.8,2020 UFA,2,ROSTER
2020,21,0001,14960,1.3,2020 UFA,2,ROSTER
2020,21,0001,9448,0.8,2020 UFA,2,ROSTER
2020,21,0001,11802,0.8,2020 UFA,1,ROSTER
2020,21,0001,12938,1.3,2020 UFA,2,ROSTER
2020,21,0001,13606,4.6,2018 1.06,2,ROSTER
2020,21,0001,14979,0.69,2020 UDFA,3,INJURED_RESERVE
2020,21,0001,14902,0.89,2020 3.11,4,INJURED_RESERVE
2020,21,0001,13717,1.33,2018 3.11,2,INJURED_RESERVE
2020,21,0001,12652,29.15,2019 EXT,3,INJURED_RESERVE
2020,21,0001,12774,0.8,2020 UFA,2,INJURED_RESERVE
2020,21,0002,12930,9.52,2020 EXT,3,ROSTER
2020,21,0002,13713,1.45,2018 3.07,2,ROSTER
2020,21,0002,14073,6.71,2019 1.02,3,ROSTER
2020,21,0002,14113,2.23,2019 1.16,3,ROSTER
2020,21,0002,13403,0.66,2019 UFA,1,ROSTER
2020,21,0002,9051,14.0,2020 B/R,2,ROSTER
2020,21,0002,11228,26.0,2020 UFA,1,ROSTER
2020,21,0002,13738,1.4,2020 UFA,2,ROSTER
2020,21,0002,14779,1.87,2020 1.14,4,ROSTER
2020,21,0002,14804,0.84,2020 4.02,4,ROSTER
2020,21,0002,14898,0.74,2020 6.10,4,ROSTER
2020,21,0002,14877,2.68,2020 1.09,4,ROSTER
2020,21,0002,13793,0.61,2018 UDFA,1,ROSTER
2020,21,0002,14197,1.19,2019 3.08,3,ROSTER
2020,21,0002,15081,0.8,2020 UFA,2,ROSTER
2020,21,0002,14962,0.69,2020 UDFA,3,ROSTER
2020,21,0002,14933,1.3,2020 UFA,2,ROSTER
