season,contractInfo,id,salary,contractYear,conference,asof
2018,Inaugural,10772,4.36,2.0,0,
2018,2018 UFA,11182,0.7,2.0,0,
2018,2018 5.06,13750,0.7,4.0,0,
2018,2018 UFA,9864,0.6,1.0,0,
2018,2018 UFA,12738,0.6,1.0,0,
2018,2017 UFA,11705,0.66,1.0,0,
2018,2018 UFA,13354,1.1,2.0,0,
2018,2018 UFA,11965,1.2,1.0,0,
2018,2017 2.16,13190,1.43,2.0,0,
2018,2018 NEFT,12752,6.84,1.0,0,
2018,2018 UFA,10653,0.6,2.0,0,
2018,2018 5.04,13636,0.7,4.0,0,
2018,2018 EXT,13915,1.08,3.0,0,
2018,2018 UFA,12506,0.6,1.0,0,
2018,2018 4.04,13640,0.9,4.0,0,
2018,2018 ORFA,9051,11.0,1.0,0,
2018,2017 UFA,12779,1.54,1.0,0,
2018,2018 UFA,13816,0.6,3.0,0,
2018,2018 UFA,13718,0.6,2.0,0,
2018,2018 UFA,9188,1.2,1.0,0,
2018,Inaugural,11644,10.89,3.0,0,
2018,2018 UFA,11858,1.1,1.0,0,
2018,2018 ORFA,13364,1.9,1.0,0,
2018,2018 5.02,13703,0.7,4.0,0,
2018,2018 SRFA,10335,3.7,2.0,0,
2018,2018 4.02,13668,0.9,4.0,0,
2018,2017 2.03,13200,1.98,3.0,0,
2018,2018 2.05,13681,1.8,4.0,0,
2018,2018 1.07,13610,3.5,4.0,0,
2018,2018 UFA,9465,0.6,1.0,0,
2018,2018 UFA,10777,0.6,2.0,0,
2018,Inaugural,12280,4.48,1.0,0,
2018,2018 EXT,12739,1.53,3.0,0,
2018,2018 UFA,13136,1.2,1.0,0,
2018,Inaugural,11740,6.66,3.0,0,
2018,2018 FRFA,11706,3.1,5.0,0,
2018,2018 B/R,10308,5.5,1.0,0,
2018,2017 UFA,13290,4.4,1.0,0,
2018,2018 UFA,13423,0.6,2.0,0,
2018,2018 UFA,13412,0.7,2.0,0,
2018,2016 1.02,12646,6.05,2.0,0,
2018,2018 UFA,12523,0.6,1.0,0,
2018,Inaugural,12152,3.03,2.0,0,
2018,2018 UFA,13435,1.1,2.0,0,
2018,2017 UFA,12628,0.66,1.0,0,
2018,2017 UFA,11349,4.62,2.0,0,
2018,2017 UFA,12250,7.92,2.0,0,
2018,2017 UFA,12754,1.32,3.0,0,
2018,2018 UFA,12257,0.6,2.0,0,
2018,2018 UFA,13248,0.6,1.0,0,
2018,2017 3.10,13146,1.1,3.0,0,
2018,2017 1.03,13128,5.5,3.0,0,
2018,2017 UFA,9474,1.21,1.0,0,
2018,2018 UFA,13844,0.6,1.0,0,
2018,Inaugural,11674,10.89,1.0,0,
2018,Inaugural,12175,20.57,3.0,0,
2018,Inaugural,10700,12.58,2.0,0,
2018,208 6.01,13662,0.6,4.0,0,
2018,2018 B/R,10762,5.0,2.0,0,
2018,2018 UFA,9427,1.1,2.0,0,
2018,2016 2.12,12746,0.73,1.0,0,
2018,2018 UFA,10861,0.6,1.0,0,
2018,2018 UFA,10819,0.6,2.0,0,
2018,2017 UFA,8742,0.88,1.0,0,
2018,2018 SRFA,12184,5.1,2.0,0,
2018,2018 SRFA,11668,4.4,3.0,0,
2018,2017 3.04,13216,1.32,3.0,0,
2018,2018 UFA,10755,0.6,2.0,0,
2018,2018 UFA,11347,1.1,2.0,0,
2018,2018 UFA,10313,6.0,2.0,0,
2018,2018 UFA,13908,0.6,1.0,0,
2018,Inaugural,12276,3.51,2.0,0,
2018,Inaugural,10265,6.41,1.0,0,
2018,2018 1.02,13592,6.0,4.0,0,
2018,2018 3.04,13688,1.3,4.0,0,
2018,2017 B/R,10768,12.1,2.0,0,
2018,2017 1.04,13153,4.95,3.0,0,
2018,2017 UFA,10816,0.88,1.0,0,
2018,2017 2.04,13221,1.98,3.0,0,
2018,2018 UFA,12164,1.5,1.0,0,
2018,2016 UFA,12748,1.09,1.0,0,
2018,2018 UFA,7826,1.1,1.0,0,
2018,2018 EXT,12087,1.98,4.0,0,
2018,2018 UFA,8247,1.2,1.0,0,
