season,salary,id,contractInfo,contractYear,conference
2020,,0000,2020 UFA,,0
2020,1.38,14184,2019 3.01,3,0
2020,12.22,11675,2018 FRFA,1,0
2020,7.48,13230,2020 EXT,3,0
2020,2.50,13392,2020 UFA,1,0
2020,0.80,14185,2020 UFA,2,0
2020,3.60,10554,2020 UFA,1,0
2020,0.66,12181,2019 UFA,1,0
2020,1.40,14811,2020 UFA,1,0
2020,1.41,14840,2020 2.04,4,0
2020,2.47,14799,2020 1.10,4,0
2020,1.40,13753,2020 UFA,2,0
2020,1.30,13730,2020 UFA,2,0
2020,7.76,12233,Inaugural,1,0
2020,5.95,13208,2020 EXT,3,0
2020,2.06,13589,2018 2.07,2,0
2020,2.43,14167,2019 1.14,3,0
2020,26,11222,2020 UFA,1,0
2020,1.30,13879,2020 UFA,2,0
2020,0.84,14153,2019 4.14,3,0
2020,0.80,9875,2020 UFA,2,0
2020,2.75,9308,2019 SRFA,1,0
2020,3.75,12308,2018 FRFA,2,0
2020,9.52,12930,2020 EXT,3,0
2020,10.06,13671,2020 EXT,5,0
2020,0.80,13756,2020 UFA,2,0
2020,1.66,14107,2019 2.09,3,0
2020,7.15,12218,2019 EXT,3,0
2020,0.80,14093,2020 UFA,2,0
2020,0.80,13759,2020 UFA,1,0
2020,0.75,14906,2020 6.01,4,0
2020,0.80,13880,2020 UFA,2,0
2020,0.80,14936,2020 4.09,4,0
2020,3.20,9868,2020 UFA,1,0
2020,0.80,11725,2020 UFA,2,0
2020,0.80,14272,2020 UFA,2,0
2020,1.30,12083,2020 UFA,2,0
2020,0.80,13263,2020 UFA,2,0
2020,0.80,13980,2020 UFA,1,0
2020,0.62,14256,2019 6.16,3,0
2020,1.07,13251,2017 4.04,1,0
2020,1.30,14178,2020 UFA,2,0
2020,2.61,13706,2020 EXT,4,0
2020,8.23,13604,2018 1.01,2,0
2020,0.80,15082,2020 UFA,2,0
2020,3.20,13201,2020 UFA,1,0
2020,0.66,11720,2019 UFA,1,0
2020,0.66,12075,2019 UFA,1,0
2020,0.80,14983,2020 UFA,3,0
2020,0.73,13737,2018 6.02,2,0
2020,0.88,14893,2020 3.12,4,0
2020,0.66,13866,2019 UFA,1,0
2020,1.30,10973,2020 UFA,2,0
2020,0.80,13125,2020 UFA,2,0
2020,7.61,11679,2019 EXT,4,0
2020,12.50,11192,2020 B/R,2,0
2020,7.29,12718,2020 TT,1,0
2020,0.78,14801,2020 5.02,3,0
2020,0.80,13775,2020 R/F,2,0
2020,1.30,13638,2020 UFA,2,0
2020,0.79,14922,2020 4.12,4,0
2020,1.30,14933,2020 UFA,2,0
2020,1.30,14202,2020 UFA,2,0
2020,0.69,14912,2020 UDFA,3,0
2020,0.80,13869,2020 UFA,1,0
2020,1.30,12629,2020 UFA,2,0
2020,6.66,12686,2017 FRFA,1,0
2020,5.10,14147,2019 1.04,3,0
2020,1.30,11299,2020 UFA,1,0
2020,0.80,11802,2020 UFA,1,0
2020,0.80,11936,2020 UFA,1,0
2020,1.30,13418,2020 UFA,2,0
2020,0.80,11512,2020 UFA,2,0
2020,0.92,14843,2020 3.08,3,0
2020,1.40,13256,2020 UFA,1,0
2020,6,12650,2020 EXT,4,0
2020,1.24,14125,2019 3.06,3,0
2020,0.80,12328,2020 R/F,2,0
2020,1.40,12750,2020 UFA,3,0
2020,22.36,5848,2020 NEFT,1,0
2020,1.30,11788,2020 UFA,2,0
2020,22.36,4925,2020 NEFT,1,0
2020,1.30,13378,2020 UFA,2,0
2020,1.32,11640,2019 UFA,1,0
2020,0.66,10763,2019 UFA,1,0
2020,0.94,14892,2020 3.06,4,0
2020,2.33,14104,2019 1.15,3,0
2020,2,9988,2020 UFA,2,0
2020,1.17,14897,2020 2.10,4,0
2020,0.73,13304,2020 ERFA,1,0
2020,6,11783,2020 FRFA,2,0
2020,0.66,12386,2019 R/F,1,0
2020,1.99,14105,2019 2.03,3,0
2020,1.30,14150,2020 UFA,2,0
2020,0.76,14875,2020 5.10,4,0
2020,11.24,12688,2020 EXT,5,0
2020,0.80,11182,2020 R/F,2,0
2020,1.72,14171,2019 2.08,3,0
2020,1.30,12781,2020 UFA,1,0
2020,6.15,14777,2020 1.02,4,0
2020,1.30,11705,2020 UFA,2,0
2020,3.49,14170,2019 1.08,3,0
2020,0.66,13354,2019 UFA,1,0
2020,0.80,13448,2020 UFA,2,0
2020,1.40,11965,2020 UFA,1,0
2020,8.70,12752,2020 UFA,2,0
2020,1.20,12464,2020 UFA,2,0
2020,0.66,12506,2019 UFA,1,0
2020,0.80,15034,2020 UFA,3,0
2020,14,9051,2020 B/R,2,0
2020,1.43,12779,2019 UFA,2,0
2020,2.15,14112,2019 2.01,3,0
2020,1.30,13718,2020 UFA,2,0
2020,5.50,11644,2019 B/R,2,0
2020,17.50,13364,2020 SRFA,1,0
2020,1.50,13703,2020 UFA,1,0
2020,3.10,10335,2020 UFA,2,0
2020,0.75,14850,2020 5.16,3,0
2020,0.99,14888,2020 3.02,4,0
2020,1.09,13668,2018 4.02,2,0
2020,0.80,15055,2020 UFA,2,0
2020,0.90,14927,2020 3.10,4,0
2020,2.18,13681,2018 2.05,2,0
2020,4.24,13610,2018 1.07,2,0
2020,1.30,9465,2020 UFA,2,0
2020,1.32,13322,2019 UFA,1,0
2020,7.37,12280,2019 FRFA,2,0
2020,1.85,12739,2018 EXT,1,0
2020,1.05,14841,2020 2.15,4,0
2020,3.75,11706,2018 FRFA,3,0
2020,3,10308,2020 UFA,2,0
2020,1.30,13290,2020 UFA,2,0
2020,0.80,13412,2020 UFA,2,0
2020,4.20,12152,2020 SRFA,2,0
2020,1.26,14155,2019 3.05,3,0
2020,7.10,11349,2020 UFA,2,0
2020,7.80,12250,2020 UFA,2,0
2020,1.30,12257,2020 UFA,2,0
