season,contractInfo,id,salary,contractYear,conference
2018,2017 3.04,13216,1.32,3,0
2018,2018 UFA,10755,0.6,2,0
2018,2018 UFA,11347,1.1,2,0
2018,2018 UFA,10313,6,2,0
2018,2018 UFA,13908,0.6,1,0
2018,Inaugural,12276,3.51,2,0
2018,Inaugural,10265,6.41,1,0
2018,2018 1.02,13592,6.00,4,0
2018,2018 3.04,13688,1.30,4,0
2018,2017 B/R,10768,12.10,2,0
2018,2017 1.04,13153,4.95,3,0
2018,2017 UFA,10816,0.88,1,0
2018,2017 2.04,13221,1.98,3,0
2018,2018 UFA,12164,1.5,1,0
2018,2016 UFA,12748,1.09,1,0
2018,2018 UFA,7826,1.1,1,0
2018,2018 EXT,12087,1.98,4,0
2018,2018 UFA,8247,1.2,1,0
2018,2018 UFA,3494,0.9,1,0
2018,2018 UFA,11801,1.1,2,0
2018,2018 UDFA,13782,0.50,3,0
2018,2017 UFA,12349,0.66,1,0
2018,Inaugural,12186,7.99,3,0
2018,2018 UFA,13763,0.6,3,0
2018,2018 UFA,12632,1.1,2,0
2018,2018 UFA,13119,0.6,1,0
2018,2016 1.04,12648,4.96,2,0
2018,2018 B/R,11757,12.60,1,0
2018,Inaugural,12188,1.33,2,0
2018,2018 UFA,13281,0.6,1,0
2018,2017 FRFA,11516,3.19,2,0
2018,2018 SRFA,12630,4.50,3,0
2018,2018 UFA,12623,0.6,2,0
2018,2018 UFA,12448,0.6,2,0
2018,Inaugural,9825,12.71,1,0
2018,2017 UFA,12234,1.21,1,0
2018,Inaugural,11695,6.05,2,0
2018,2018 UFA,13294,0.6,2,0
2018,2017 UFA,9662,1.76,2,0
2018,2018 6.14,13726,0.60,4,0
2018,2018 5.01,13716,0.7,4,0
2018,2018 1.15,13697,2.20,4,0
2018,2018 UFA,13850,1.2,2,0
2018,2018 UFA,12844,0.7,2,0
2018,2018 UFA,11250,2.5,3,0
2018,2018 ERFA,13404,0.66,1,0
2018,2016 1.01,12625,6.78,2,0
2018,2018 UFA,13303,0.6,2,0
2018,2018 UFA,11789,1.2,2,0
2018,2018 UFA,10838,1.1,2,0
2018,2017 1.13,13189,2.53,2,0
2018,2017 SRFA,11850,3.19,3,0
2018,Inaugural,11247,6.29,2,0
2018,2018 UFA,13327,1.1,2,0
2018,2017 UFA,13257,0.66,1,0
2018,Inaugural,11671,17.55,2,0
2018,2018 2.03,13699,1.90,4,0
2018,2017 3.12,13236,1.10,2,0
2018,2018 UFA,12860,0.6,2,0
2018,2018 UFA,12990,0.7,2,0
2018,2018 UFA,13919,1.1,2,0
2018,2017 EXT,7393,6.14,2,0
2018,2018 3.07,13713,1.2,4,0
2018,2018 UFA,8062,0.6,2,0
2018,Inaugural,9064,3.03,1,0
2018,2016 UFA,12222,2.06,1,0
2018,2018 UFA,13778,0.6,3,0
2018,2016 5.09,12734,1.21,1,0
2018,2018 UFA,10699,0.6,2,0
2018,2018 UFA,11711,0.6,2,0
2018,2018 UFA,14029,0.6,2,0
2018,2018 UFA,14012,0.6,2,0
2018,2017 1.14,13134,2.42,3,0
2018,2018 UFA,10339,1.6,1,0
