season,contractYear,salary,contractInfo,id,conference
2019,,,2019 UFA,0000,0
2019,,0.00,,0810,0
2019,,0.00,,0815,0
2019,,0.00,,0816,0
2019,,0.00,,0819,0
2019,,0.00,,0823,0
2019,,0.00,,0827,0
2019,,0.00,,0841,0
2019,,0.00,,0846,0
2019,,0.00,,0847,0
2019,,0.00,,0850,0
2019,,0.00,,0851,0
2019,,0.00,,0868,0
2019,,0.00,,0879,0
2019,,0.00,,0903,0
2019,4,1.25,2019 3.01,14184,0
2019,2,11.11,2018 FRFA,11675,0
2019,2,1.94,2017 2.08,13230,0
2019,3,1.21,2018 3.12,13611,0
2019,4,0.91,2019 4.02,14185,0
2019,1,0.73,2019 ERFA,10554,0
2019,2,0.60,2019 UFA,12181,0
2019,2,1.20,2019 UFA,12154,0
2019,2,0.88,2018 4.09,13753,0
2019,2,0.99,2018 4.08,13730,0
2019,2,7.05,Inaugural,12233,0
2019,1,1.21,2018 UFA,8951,0
2019,1,0.60,2019 UFA,12713,0
2019,2,1.32,2018 UFA,11351,0
2019,2,1.69,2017 2.13,13208,0
2019,3,1.87,2018 2.07,13589,0
2019,4,2.21,2019 1.14,14167,0
2019,1,17.97,Inaugural,11222,0
2019,1,2.10,2019 UFA,13879,0
2019,1,0.60,2019 UFA,11814,0
2019,4,0.76,2019 4.14,14153,0
2019,1,1.10,2018 UFA,12665,0
2019,2,6.50,2019 FRFA,11308,0
2019,3,0.50,2019 UDFA,14236,0
2019,2,2.50,2019 SRFA,9308,0
2019,3,3.41,2018 FRFA,12308,0
2019,1,0.66,2019 ERFA,10264,0
2019,2,0.60,2019 UFA,12288,0
2019,2,1.44,2017 EXT,12930,0
2019,3,0.60,2019 UFA,14088,0
2019,1,1.30,2019 UFA,13218,0
2019,2,1.43,2018 3.02,13671,0
2019,2,7.15,2018 B/R,11267,0
2019,2,1.20,2019 UFA,13268,0
2019,2,0.60,2019 UFA,13756,0
2019,4,1.51,2019 2.09,14107,0
2019,4,6.50,2019 EXT,12218,0
2019,4,0.59,2019 6.05,14093,0
2019,1,2.54,2017 UFA,9868,0
2019,2,0.60,2019 UFA,11725,0
2019,3,0.60,2019 UFA,14272,0
2019,1,0.60,2019 UFA,11213,0
2019,1,1.32,2018 UFA,12083,0
2019,1,0.60,2019 UFA,13781,0
2019,2,1.09,2017 4.03,13263,0
2019,1,0.60,2019 UFA,10275,0
2019,4,0.56,2019 6.16,14256,0
2019,2,0.97,2017 4.04,13251,0
2019,4,0.70,2019 5.04,14178,0
2019,2,0.77,2018 5.12,13706,0
2019,2,0.60,2019 UFA,13621,0
2019,3,0.60,2019 UFA,14204,0
2019,1,1.32,2018 UFA,12637,0
2019,3,7.48,2018 1.01,13604,0
2019,2,2.90,2017 1.12,13201,0
2019,2,0.60,2019 UFA,11720,0
2019,2,0.60,2019 UFA,12075,0
2019,1,0.60,2019 UFA,10782,0
2019,3,0.66,2018 6.02,13737,0
2019,2,0.60,2019 UFA,13866,0
2019,1,1.30,2019 UFA,10973,0
2019,1,1.45,2017 UFA,12230,0
2019,5,6.92,2019 EXT,11679,0
2019,3,15.49,2019 EXT,11192,0
2019,1,2.42,2017 ORFA,12718,0
2019,,0.60,2019 UFA,9749,0
2019,2,0.60,2019 UFA,11193,0
2019,1,0.60,2019 UFA,12266,0
2019,2,1.31,2018 EXT,8448,0
2019,2,1.30,2019 UFA,14202,0
2019,2,0.60,2019 UFA,12794,0
2019,3,0.60,2019 UFA,14070,0
2019,2,0.60,2019 UFA,14435,0
2019,1,1.99,2016 2.08,12629,0
2019,2,6.05,2017 FRFA,12686,0
2019,4,4.64,2019 1.04,14147,0
2019,1,0.60,2019 UFA,11802,0
2019,1,0.60,2019 UFA,11936,0
2019,1,0.60,2019 UFA,13418,0
2019,1,3.03,2017 ORFA,11512,0
2019,1,0.66,2018 UFA,12650,0
2019,4,1.13,2019 3.06,14125,0
2019,1,0.94,2016 4.12,12750,0
2019,1,3.63,2017 ORFA,10827,0
2019,1,13.60,2019 SRFA,5848,0
2019,2,2.53,2018 SRFA,12110,0
2019,1,18.15,2018 SRFA,4925,0
2019,1,0.61,2017 UDFA,13378,0
2019,2,1.20,2019 UFA,11640,0
2019,1,1.21,2018 UFA,12616,0
2019,2,0.60,2019 UFA,10763,0
2019,4,2.12,2019 1.15,14104,0
2019,3,20.90,2019 EXT,9988,0
2019,1,0.66,2018 UFA,13304,0
2019,1,4,2019 B/R,11783,0
2019,2,0.60,2019 R/F,12386,0
2019,1,0.60,2019 UFA,12173,0
2019,4,1.81,2019 2.03,14105,0
2019,1,4.10,2019 UFA,10770,0
2019,3,0.50,2019 UDFA,14150,0
2019,1,0.60,2019 UFA,9823,0
2019,1,2.40,2016 2.01,12688,0
2019,1,4.80,Inaugural,10772,0
2019,2,0.60,2019 UFA,13466,0
2019,3,0.77,2018 5.06,13750,0
2019,2,0.60,2019 UFA,9864,0
2019,4,1.56,2019 2.08,14171,0
2019,1,0.73,2019 ERFA,11705,0
2019,4,3.17,2019 1.08,14170,0
2019,2,0.60,2019 UFA,13354,0
2019,2,0.60,2019 UFA,13448,0
2019,4,1.47,2019 2.10,14106,0
2019,1,1.30,2019 UFA,11965,0
2019,2,1.20,2019 UFA,12740,0
2019,1,1.57,2017 2.16,13190,0
2019,1,8.60,2019 SRFA,12752,0
2019,3,0.77,2018 5.04,13636,0
2019,2,0.60,2019 UFA,12506,0
2019,3,0.99,2018 4.04,13640,0
2019,2,13,2019 UFA,9051,0
2019,3,1.30,2019 UFA,12779,0
2019,4,1.95,2019 2.01,14112,0
2019,3,5,2019 B/R,11644,0
2019,1,14,2019 UFA,13364,0
2019,1,4.07,2018 SRFA,10335,0
2019,3,0.60,2019 UFA,14251,0
2019,3,0.99,2018 4.02,13668,0
2019,2,2.18,2017 2.03,13200,0
2019,3,1.98,2018 2.05,13681,0
2019,3,3.85,2018 1.07,13610,0
2019,2,1.20,2019 UFA,13322,0
2019,3,6.70,2019 FRFA,12280,0
2019,2,1.68,2018 EXT,12739,0
2019,2,7.33,Inaugural,11740,0
2019,4,3.41,2018 FRFA,11706,0
2019,1,1.90,2019 UFA,10308,0
2019,1,1.20,2019 UFA,11791,0
