year,name,draft_team,stats_global_id,position,id,team,draft_year,twitter_username,cbs_id,stats_id,fleaflicker_id,status,rotoworld_id,jersey,rotowire_id,college,weight,height,draft_pick,draft_round,sportsdata_id,birthdate,nfl_id,espn_id
2018,"Floyd, Michael",ARI,456619,WR,10721,WAS,2012,MichaelMFloyd,1633109,25723,,,6759,13,8054,Notre Dame,220,74,13,1,471dbe81-54c4-4b52-8bd1-4933c9800e1f,628146000,michaelfloyd/2532841,14908
2018,"Jeffery, Alshon",CHI,504323,WR,10722,PHI,2012,TheJefferyShow,1686006,25755,8422,,7441,17,8029,South Carolina,218,75,13,2,5c529c33-8a1d-413a-b635-880ac86f30c1,634971600,alshonjeffery/2533039,14912
2018,"Sanu, Mohamed",CIN,494313,WR,10723,ATL,2012,Mo_12_Sanu,1664646,25793,,,7433,6,8026,Rutgers,210,74,20,3,1726a359-9444-4761-a1f2-cb35ee6fa60e,619765200,mohamedsanu/2533040,14922
2018,"Randle, Rueben",NYG,498977,WR,10725,FA,2012,RuebenRandle,1679976,25773,,,7468,82,8049,LSU,208,74,31,2,56223a1a-cf12-473c-8f54-2f3f3fab579d,673592400,ruebenrandle/2533533,14911
2018,"Hilton, T.Y.",IND,468655,WR,10729,IND,2012,TYHilton13,1673733,25802,,,7558,13,8098,Florida International,183,70,29,3,b8426cea-f8b9-4061-8d56-e70d1230103e,627022800,t.y.hilton/2532865,14924
2018,"Posey, DeVier",HOU,464363,WR,10730,FA,2012,DPo8,1631106,25778,,,7540,85,8104,Ohio State,214,73,5,3,9d99148c-0898-4ba1-9454-c5efbdc01f33,637477200,devierposey/2532930,14969
2018,"Wright, Jarius",MIN,465652,WR,10734,CAR,2012,Jay_wright4,1632252,25828,8525,,7574,13,8105,Arkansas,191,70,23,4,6a11f09e-268c-4e5a-9b0f-cc0f4bc353c3,627973200,jariuswright/2532978,14918
2018,"Quick, Brian",STL,390159,WR,10735,WAS,2012,WORKAHOLIC_BQ,1687422,25743,8605,,7477,83,8095,Appalachian State,215,75,1,2,f8ca735c-2779-4d0c-914e-e58e11c2356d,613026000,brianquick/2532933,14914
2018,"Benjamin, Travis",CLE,464646,WR,10737,LAC,2012,TravisBenjamin3,1630448,25810,8437,,7562,17,8111,Miami,175,70,5,4,4f0053fc-5559-4551-bd81-dcd1cdf3a9ec,630910800,travisbenjamin/2532790,15062
2018,"Jones, Marvin",CIN,461620,WR,10738,DET,2012,MarvinJonesJr,1631804,25876,,,7503,11,8223,California,199,74,31,5,1a2fbc23-e6db-4d2f-a152-2c774341b7c4,637218000,marvinjones/2532884,15072
2018,"Allen, Dwayne",IND,463515,TE,10742,NEP,2012,Dallen83,1630216,25774,8485,,7452,89,8041,Clemson,260,76,1,3,cc745cc3-d52a-454b-98c8-ac9155a9405c,635835600,dwayneallen/2533046,14901
2018,"Fleener, Coby",IND,399848,TE,10743,FA,2012,coby,1244492,25744,,,7418,82,8064,Stanford,251,78,2,2,9102665d-a658-4264-81c3-b9810776ddf0,590734800,cobyfleener/2532838,14900
2018,"Green, Ladarius",SDC,468704,TE,10744,FA,2012,king_green89,1631427,25820,8576,,7568,89,8113,Louisiana-Lafayette,240,78,15,4,7ee060f9-4c69-4611-9d6d-3b139e06c82a,643957200,ladariusgreen/2532853,14904
