season,id,franchise_id,amount,description,timestamp,ts_utc
2024,141,0008,2.16,Michael Hoecht - 3 yrs at $3.6 mil dropped 10/2/24,1727965321,2024-10-03T14:22:01+00:00
2024,142,0009,2.51,Jamin Davis - 1 yr at $2.51 mil dropped 9/29/24 FG 2021 1.15,1727965321,2024-10-03T14:22:01+00:00
2024,143,0021,1.02,Sirvocea Dennis - 1 yr at $1.7 mil dropped 10/1/24,1727965407,2024-10-03T14:23:27+00:00
2024,144,0030,4.56,Javon Hargrave - 2 yrs at $7.6 mil dropped 9/27/24,1727965407,2024-10-03T14:23:27+00:00
2024,145,0021,2.4,Tyler Johnson - 1 yr at $4 mil dropped 10/6/24,1728418351,2024-10-08T20:12:31+00:00
2024,146,0023,8.52,Daron Payne - 1 yr at $14.2 dropped 10/3/24,1728418351,2024-10-08T20:12:31+00:00
2024,147,0030,1.2,Carson Steele - 1 yr at $2 mil dropped 10/6/24,1728418351,2024-10-08T20:12:31+00:00
2024,148,0023,1.56,AJ Dillon - 1 yr at $2.6 mil dropped 10/3/24,1728418377,2024-10-08T20:12:57+00:00
2024,149,0002,1.87,Nicholas Morrow - 1 yr at $3.11 mil dropped 10/5/24,1728996809,2024-10-15T12:53:29+00:00
2024,15,0027,0.91,Jamison Crowder - 2 yrs at $3.03 dropped 8/21/23,1709586512,2024-03-04T21:08:32+00:00
2024,150,0005,1.26,Gardner Minshew - 1 yr at $2.1 mil dropped 10/12/24,1728996809,2024-10-15T12:53:29+00:00
2024,152,0011,1.12,Damone Clark - 2 yrs at $1.86 mil dropped 10/9/24,1728996809,2024-10-15T12:53:29+00:00
2024,153,0002,1.02,Darius Muasau - 1 yr at $1.7 mil dropped 10/5/24,1728996875,2024-10-15T12:54:35+00:00
2024,154,0020,1.02,Ryan Rehkow - 1 yr at $1.7 mil dropped 10/12/24,1728997088,2024-10-15T12:58:08+00:00
2024,155,0021,6.82,Deshaun Watson - 2 yrs at $11.4 mil dropped 10/12/24,1728997088,2024-10-15T12:58:08+00:00
2024,156,0023,2.46,Elandon Roberts - 1 yr at $4.1 mil dropped 10/10/24,1728997088,2024-10-15T12:58:08+00:00
2024,157,0027,1.16,Lorenzo Carter - 1 yr at $1.94 mil dropped 10/9/24,1728997088,2024-10-15T12:58:08+00:00
2024,158,0030,1.02,Arik Armstead - 2 yrs at $1.7 mil dropped 10/10/24,1728997088,2024-10-15T12:58:08+00:00
2024,159,0032,1.08,Tyler Huntley - 1 yr at $1.8 mil dropped 10/9/24,1728997088,2024-10-15T12:58:08+00:00
2024,16,0029,0.49,Damien Williams - 2 yrs at $1.62 dropped 9/4/23,1709586512,2024-03-04T21:08:32+00:00
2024,160,0021,4.0,BAL Sends $4 mil cash to IND in trade 10/13/24,1728997266,2024-10-15T13:01:06+00:00
2024,161,0023,-4.0,KCC Sends $4 mil cash to CLE in trade 10/10/24,1728997266,2024-10-15T13:01:06+00:00
2024,162,0026,-4.0,BAL Sends $4 mil cash to IND in trade 10/13/24,1728997266,2024-10-15T13:01:06+00:00
2024,163,0030,4.0,KCC Sends $4 mil cash to CLE in trade 10/10/24,1728997266,2024-10-15T13:01:06+00:00
2024,164,0021,5.0,BAL Sends $5 mil cash to DEN in trade 10/14/24,1728997315,2024-10-15T13:01:55+00:00
2024,165,0029,-5.0,BAL Sends $5 mil cash to DEN in trade 10/14/24,1728997315,2024-10-15T13:01:55+00:00
2024,166,0004,2.34,La'Jarius Sneed - 1 yr at $3.90 mil dropped 10/18/24,1729431437,2024-10-20T13:37:17+00:00
2024,167,0005,3.24,Rashawn Jenkins - 1 yr at $5.40 mil dropped 10/19/24,1729431437,2024-10-20T13:37:17+00:00
2024,168,0007,1.81,Jamal Adams - 2 yrs at $3.01 mil dropped 10/17/24,1729431437,2024-10-20T13:37:17+00:00
2024,169,0013,1.74,K.J. Osborn - 1 yr at $2.90 mil dropped 10/17/24,1729431437,2024-10-20T13:37:17+00:00
2024,17,0030,0.97,Jack Sanborn - 3 yrs at $1.61 dropped 9/3/23,1709586512,2024-03-04T21:08:32+00:00
2024,170,0018,1.2,Jordan Poyer - 1 yr at $2.0 mil dropped 10/16/24,1729431635,2024-10-20T13:40:35+00:00
2024,171,0025,3.0,Gus Edwards - 1 yr at $5.0 mil dropped 10/16/24,1729431635,2024-10-20T13:40:35+00:00
2024,172,0029,1.28,Rondale Moore - 1 yr at $2.13 mil dropped 10/15/24,1729431635,2024-10-20T13:40:35+00:00
2024,173,0032,1.08,Darrell Taylor - 1 yr at $1.80 mil dropped 10/19/24,1729431635,2024-10-20T13:40:35+00:00
2024,174,0025,4.38,Brandin Cooks - 1 yr at $7.30 mil dropped 10/16/24,1729431719,2024-10-20T13:41:59+00:00
2024,175,0029,3.6,Gardner Minshew - 1 yr at $6.00 mil dropped 10/15/24,1729431719,2024-10-20T13:41:59+00:00
2024,176,0002,4.59,Devin White - 1 yr at $7.65 mil dropped 10/20/24,1729515854,2024-10-21T13:04:14+00:00
2024,177,0003,5.0,PHI sends ATL $5.0m in Cash Trade 10/29/24,1730561682,2024-11-02T15:34:42+00:00
2024,178,0009,-5.0,PHI sends ATL $5.0m in Cash Trade 10/29/24,1730561682,2024-11-02T15:34:42+00:00
2024,179,0002,1.02,De'Vondre Campbell - 1 yr at $1.7 mil dropped 10/31/24,1730643362,2024-11-03T14:16:02+00:00
2024,18,0032,0.46,Michael Jackson - 2 yrs at $1.53 dropped 9/15/23,1709586512,2024-03-04T21:08:32+00:00
