season,id,franchise_id,amount,description,timestamp,ts_utc
2019,549,0017,11.29,Andrew Luck - 3 yrs restructured from $25 to $6 in 2018 BRFT,1550283611,2019-02-16T02:20:11+00:00
2019,550,0017,0.62,Paxton Lynch - 2 yrs at $2.06 dropped 9/4/18,1550283702,2019-02-16T02:21:42+00:00
2019,551,0021,0.97,Denzel Perryman - 3 yrs at $7.62mil Restructure 4/16/18,1550283757,2019-02-16T02:22:37+00:00
2019,552,0021,0.76,Martavis Bryant - 2 yrs at 2.54 dropped 9/4/18,1550283821,2019-02-16T02:23:41+00:00
2019,553,0022,1.14,Jordan Hicks - 3 yrs at $9.8mil Restructure 4/16/18,1550283900,2019-02-16T02:25:00+00:00
2019,554,0023,0.51,Jeff Janis - 2 yrs at 1.69 dropped 5/8/18,1550283982,2019-02-16T02:26:22+00:00
2019,555,0023,2.54,Paul Perkins - 2 yrs at 2.54 - 1st round pick,1550284032,2019-02-16T02:27:12+00:00
2019,556,0029,1.97,Breshad Perriman - 3 yrs at $4.48mil Buyout 4/16/18,1550284148,2019-02-16T02:29:08+00:00
2019,557,0029,1.83,Dez Bryant - 2 yrs at $6.1 dropped 11/18/18,1550284189,2019-02-16T02:29:49+00:00
2019,558,0025,0.75,Dante Fowler - 2 yrs at $6.41mil Restructure 4/17/18,1550284271,2019-02-16T02:31:11+00:00
2019,559,0026,2.23,Willie Snead - 3 yrs at $5.61mil Restructure 4/16/18,1550284345,2019-02-16T02:32:25+00:00
2019,560,0026,1.8,Carlos Hyde - 2 yrs at $6 dropped 12/9/18,1550284394,2019-02-16T02:33:14+00:00
2019,561,0027,0.41,Muhammad Wilkerson - 2 yrs at $7.15mil Restructure 4/19/18,1550284490,2019-02-16T02:34:50+00:00
2019,562,0027,0.44,Danny Woodhead - 2 yrs at $1.45 dropped 5/13/18,1550284587,2019-02-16T02:36:27+00:00
2019,563,0030,2.4,Vic Beasley - 3 yrs at $4 mil dropped 10/23/18,1550284639,2019-02-16T02:37:19+00:00
2019,564,0032,1.2,David Amerson - 2 yrs at $3.99 dropped 10/15/18,1550284718,2019-02-16T02:38:38+00:00
2019,565,0019,4.68,Kevin White - 3 yrs at $9.8mil Restructure 4/16/18,1550284828,2019-02-16T02:40:28+00:00
2019,566,0019,0.36,Rico Gathers - 2 years at $1.2 dropped 10/4/18,1550284862,2019-02-16T02:41:02+00:00
2019,567,0020,6.05,Corey Coleman - 2 years at $6.05 - fully guaranteed pick 1.02 - dropped 9/7/18,1550284921,2019-02-16T02:42:01+00:00
2019,568,0020,0.36,BJ Goodson - 2 years at $1.2 mil dropped 9/13/18,1550284960,2019-02-16T02:42:40+00:00
2019,569,0020,0.51,Steven Weatherly - 2 years at $1.7 dropped 9/28/18,1550284990,2019-02-16T02:43:10+00:00
2019,570,0020,4.03,Derek Carr - 2 yrs at $13.43 dropped 10/14/18,1550285018,2019-02-16T02:43:38+00:00
2019,571,0020,4.16,Josh Doctson - 3 yrs at $6.93 dropped 10/14/18,1550285051,2019-02-16T02:44:11+00:00
2019,572,0031,5.5,Kelvin Benjamin - 3 yrs at $14.16mil Restructure 4/16/17,1550285109,2019-02-16T02:45:09+00:00
2019,573,0031,3.12,Jordan Matthews - 2 yrs at $10.41mil dropped 4/13/18,1550285131,2019-02-16T02:45:31+00:00
2019,574,0031,0.72,Anthony Zettel - 3 yrs at $1.2 dropped 11/20/18,1550285160,2019-02-16T02:46:00+00:00
2019,575,0031,3.0,Kelvin Benjamin - 3 yrs at $5 mil dropped 12/5/18,1550285179,2019-02-16T02:46:19+00:00
2019,576,0024,3.66,Carlos Hyde - 3 yrs at $12.10mil Buyout 4/17/18,1550285228,2019-02-16T02:47:08+00:00
2019,577,0028,2.23,Tyrod Taylor - 2 yrs at $7.74 dropped 12/22/18,1550285261,2019-02-16T02:47:41+00:00
2019,578,0003,1.3,Aaron Donald - 2018 B/R,1550330649,2019-02-16T15:24:09+00:00
2019,579,0004,1.44,A.J. Green - 2018 B/R,1550330649,2019-02-16T15:24:09+00:00
2019,580,0009,1.84,Tyler Lockett - 2018 B/R,1550330649,2019-02-16T15:24:09+00:00
2019,581,0010,3.16,Jordan Reed - 2018 B/R,1550330649,2019-02-16T15:24:09+00:00
2019,582,0011,15.88,Cam Newton - 2018 B/R,1550330649,2019-02-16T15:24:09+00:00
2019,583,0012,1.84,Randall Cobb - 2018 B/R,1550330649,2019-02-16T15:24:09+00:00
2019,584,0013,4.19,Navarro Bowman - 2018 B/R,1550330649,2019-02-16T15:24:09+00:00
2019,585,0014,1.64,Denzel Perryman - 2018 B/R,1550330649,2019-02-16T15:24:09+00:00
2019,586,0015,2.71,Ezekiel Ansah - 2018 B/R,1550330649,2019-02-16T15:24:09+00:00
2019,587,0016,12.91,Andrew Luck - 2018 B/R,1550330649,2019-02-16T15:24:09+00:00
2019,588,0004,1.52,Robert Ayers - 2 yrs at $5.08 mil dropped 4/15/18,1550330908,2019-02-16T15:28:28+00:00
2019,589,0006,1.49,Markus Wheaton - 2 yrs at $4.96 mil dropped 4/13/18,1550330908,2019-02-16T15:28:28+00:00
2019,590,0013,4.19,Eddie Lacy - 2 yrs at $13.92 mil dropped 6/18/18,1550330908,2019-02-16T15:28:28+00:00
2019,591,0015,0.58,Paul Perkins - 2 yrs at $1.94 mil dropped 6/18/18,1550330908,2019-02-16T15:28:28+00:00
2019,592,0003,0.4,Chris Harris - 2 yrs at $1.33 mil dropped 9/1/18,1550331060,2019-02-16T15:31:00+00:00
2019,593,0004,1.92,Ameer Abdullah - 2 yrs at $6.41 mil dropped 6/19/18,1550331060,2019-02-16T15:31:00+00:00
