season,id,franchise_id,amount,description,timestamp,ts_utc
2025,313,0031,2.0,P. Smith - 1 yr at $3.34 mil dropped 6/17/25,1750264831,2025-06-18T16:40:31+00:00
2025,314,0005,-9.31,SEA sends $9.31 to CHI - cash trade 6/18/25,1750302465,2025-06-19T03:07:45+00:00
2025,315,0016,9.31,SEA sends $9.31 to CHI - cash trade 6/18/25,1750302465,2025-06-19T03:07:45+00:00
2025,316,0016,4.34,G. Davis - 3 yrs at $3.62 mil dropped 6/19/25,1750530965,2025-06-21T18:36:05+00:00
2025,317,0026,3.12,G. Davis - 1 yr at $5.2 mil dropped 6/19/25,1750530965,2025-06-21T18:36:05+00:00
2025,318,0016,5.9,B. Jordan - 5 yrs at $3.28 mil dropped 6/19/25,1750531032,2025-06-21T18:37:12+00:00
2025,319,0016,2.66,K. Enagbare - 2 yrs at $2.96 mil dropped 6/19/25,1750531071,2025-06-21T18:37:51+00:00
2025,320,0002,-2.0,SEA sends $2m to NYG - cash trade 6/29/25,1751229521,2025-06-29T20:38:41+00:00
2025,321,0016,2.0,SEA sends $2m to NYG - cash trade 6/29/25,1751229521,2025-06-29T20:38:41+00:00
2025,322,0002,-9.3,NOS sends $9.3 mil to NYG - trade 8/23/25,1756231397,2025-08-26T18:03:17+00:00
2025,323,0011,9.3,NOS sends $9.3 mil to NYG - trade 8/23/25,1756231397,2025-08-26T18:03:17+00:00
2025,324,0006,0.9,Jalin Hyatt - 2 yrs at $1.50 mil dropped 8/23/25,1756233217,2025-08-26T18:33:37+00:00
2025,325,0011,1.14,Eric Kendricks - 1 yr at $1.90 mil dropped 8/24/25,1756233217,2025-08-26T18:33:37+00:00
2025,326,0016,1.12,Jack Jones - 1 yr at $1.87 mil dropped 8/17/2025,1756233217,2025-08-26T18:33:37+00:00
2025,327,0016,1.63,Jadeveon Clowney - 1 yr at $2.72 mil dropped 8/17/25,1756233268,2025-08-26T18:34:28+00:00
2025,328,0016,1.19,Will Levis - 2 yrs at $1.98 mil dropped 8/17/25,1756233318,2025-08-26T18:35:18+00:00
2025,329,0016,5.18,Treylon Burks - 1 yr at $5.18 mil FG (2022 1.07) dropped 8/17/25,1756233410,2025-08-26T18:36:50+00:00
2025,330,0009,2.8,ATL sends $2.80 mil to NOS - trade 8/31/25,1756694098,2025-09-01T02:34:58+00:00
2025,331,0011,-2.8,ATL sends $2.80 mil to NOS - trade 8/31/25,1756694098,2025-09-01T02:34:58+00:00
2025,332,0004,1.8,Jabrill Peppers - 1 yr at $3mil dropped 8/29/25,1756698799,2025-09-01T03:53:19+00:00
2025,333,0008,1.14,Cameron McGrone - 1 yr at $1.9 mil dropped 8/27/25,1756698799,2025-09-01T03:53:19+00:00
2025,334,0009,0.94,Roschon Johnson - 2 yrs at $1.56 mil - 2023 2.14 dropped 8/28/25,1756698799,2025-09-01T03:53:19+00:00
2025,335,0014,7.07,Diontae Johnson - 1 yr at $11.78 mil dropped 8/27/25,1756698799,2025-09-01T03:53:19+00:00
2025,336,0016,2.52,Jordan Fuller - 1 yr at $4.2 mil dropped 8/27/25,1756698799,2025-09-01T03:53:19+00:00
2025,337,0008,2.15,Kyzir White - 2 yrs at $3.59 mil dropped 8/27/25,1756699003,2025-09-01T03:56:43+00:00
2025,338,0009,3.0,Josey Jewell - 1 yr at $5 mil dropped 8/28/25,1756699003,2025-09-01T03:56:43+00:00
2025,339,0016,1.79,Ventrell Miller - 2 yrs at $2.99 mil dropped 8/27/25,1756699003,2025-09-01T03:56:43+00:00
